,date,open
0,2000-04-06,15.03
1,2000-04-07,15.38
2,2000-04-10,15.19
3,2000-04-11,13.0
4,2000-04-12,11.06
5,2000-04-13,10.53
6,2000-04-14,8.75
7,2000-04-17,8.875
8,2000-04-18,9.094
9,2000-04-19,10.06
10,2000-04-20,9.531
11,2000-04-24,9.563
12,2000-04-25,6.844
13,2000-04-26,7.938
14,2000-04-27,8.063
15,2000-04-28,10.44
16,2000-05-01,10.5
17,2000-05-02,10.44
18,2000-05-03,11.13
19,2000-05-04,11.13
20,2000-05-05,10.88
21,2000-05-08,11.0
22,2000-05-09,10.81
23,2000-05-10,9.625
24,2000-05-11,9.0
25,2000-05-12,9.25
26,2000-05-15,9.875
27,2000-05-16,11.13
28,2000-05-17,9.75
29,2000-05-18,9.125
30,2000-05-19,9.5
31,2000-05-22,9.813
32,2000-05-23,9.25
33,2000-05-24,8.063
34,2000-05-25,7.375
35,2000-05-26,7.375
36,2000-05-30,7.125
37,2000-05-31,6.5
38,2000-06-01,6.875
39,2000-06-02,7.0
40,2000-06-05,7.313
41,2000-06-06,9.125
42,2000-06-07,11.0
43,2000-06-08,12.31
44,2000-06-09,13.94
45,2000-06-12,15.44
46,2000-06-13,15.5
47,2000-06-14,13.88
48,2000-06-15,14.13
49,2000-06-16,12.72
50,2000-06-19,12.56
51,2000-06-20,12.84
52,2000-06-21,16.25
53,2000-06-22,18.25
54,2000-06-23,19.97
55,2000-06-26,20.5
56,2000-06-27,18.69
57,2000-06-28,21.13
58,2000-06-29,25.0
59,2000-06-30,24.0
60,2000-07-03,27.88
61,2000-07-05,26.63
62,2000-07-06,29.63
63,2000-07-07,29.38
64,2000-07-10,30.88
65,2000-07-11,37.06
66,2000-07-12,37.88
67,2000-07-13,37.38
68,2000-07-14,32.0
69,2000-07-17,34.25
70,2000-07-18,37.81
71,2000-07-19,38.31
72,2000-07-20,38.88
73,2000-07-21,40.03
74,2000-07-24,44.5
75,2000-07-25,44.94
76,2000-07-26,40.25
77,2000-07-27,38.5
78,2000-07-28,36.38
79,2000-07-31,34.47
80,2000-08-01,27.13
81,2000-08-02,26.56
82,2000-08-03,27.63
83,2000-08-04,29.94
84,2000-08-07,32.75
85,2000-08-08,31.13
86,2000-08-09,32.5
87,2000-08-10,34.63
88,2000-08-11,34.31
89,2000-08-14,30.63
90,2000-08-15,30.69
91,2000-08-16,33.31
92,2000-08-17,35.0
93,2000-08-18,36.84
94,2000-08-21,38.25
95,2000-08-22,38.44
96,2000-08-23,39.25
97,2000-08-24,39.44
98,2000-08-25,40.25
99,2000-08-28,43.75
100,2000-08-29,44.0
101,2000-08-30,47.59
102,2000-08-31,48.38
103,2000-09-01,48.69
104,2000-09-05,50.47
105,2000-09-06,47.5
106,2000-09-07,42.63
107,2000-09-08,41.5
108,2000-09-11,43.56
109,2000-09-12,44.5
110,2000-09-13,46.66
111,2000-09-14,45.75
112,2000-09-15,44.69
113,2000-09-18,44.44
114,2000-09-19,42.75
115,2000-09-20,44.88
116,2000-09-21,46.69
117,2000-09-22,45.5
118,2000-09-25,44.72
119,2000-09-26,42.06
120,2000-09-27,35.72
121,2000-09-28,33.03
122,2000-09-29,38.75
123,2000-10-02,38.16
124,2000-10-03,33.94
125,2000-10-04,32.16
126,2000-10-05,32.0
127,2000-10-06,30.0
128,2000-10-09,30.13
129,2000-10-10,28.02
130,2000-10-11,26.31
131,2000-10-12,24.31
132,2000-10-13,21.0
133,2000-10-16,23.13
134,2000-10-17,27.44
135,2000-10-18,28.5
136,2000-10-19,34.41
137,2000-10-20,34.16
138,2000-10-23,34.63
139,2000-10-24,30.63
140,2000-10-25,30.78
141,2000-10-26,31.75
142,2000-10-27,30.13
143,2000-10-30,28.5
144,2000-10-31,26.0
145,2000-11-01,26.06
146,2000-11-02,28.59
147,2000-11-03,29.5
148,2000-11-06,30.0
149,2000-11-07,29.56
150,2000-11-08,30.13
151,2000-11-09,30.0
152,2000-11-10,28.98
153,2000-11-13,28.09
154,2000-11-14,27.88
155,2000-11-15,27.52
156,2000-11-16,28.64
157,2000-11-17,28.56
158,2000-11-20,27.69
159,2000-11-21,25.64
160,2000-11-22,22.88
161,2000-11-24,22.13
162,2000-11-27,22.88
163,2000-11-28,22.13
164,2000-11-29,20.5
165,2000-11-30,20.13
166,2000-12-01,18.25
167,2000-12-04,15.69
168,2000-12-05,13.44
169,2000-12-06,13.38
170,2000-12-07,13.06
171,2000-12-08,13.0
172,2000-12-11,15.13
173,2000-12-12,15.5
174,2000-12-13,16.84
175,2000-12-14,14.63
176,2000-12-15,15.06
177,2000-12-18,15.75
178,2000-12-19,13.81
179,2000-12-20,12.0
180,2000-12-21,11.25
181,2000-12-22,12.06
182,2000-12-26,15.0
183,2000-12-27,18.88
184,2000-12-28,21.25
185,2000-12-29,21.09
186,2001-01-02,19.61
187,2001-01-03,17.02
188,2001-01-04,19.75
189,2001-01-05,19.63
190,2001-01-08,17.5
191,2001-01-09,15.25
192,2001-01-10,13.88
193,2001-01-11,14.75
194,2001-01-12,15.5
195,2001-01-16,16.73
196,2001-01-17,20.19
197,2001-01-18,17.5
198,2001-01-19,17.86
199,2001-01-22,18.52
200,2001-01-23,17.77
201,2001-01-24,18.63
202,2001-01-25,20.66
203,2001-01-26,22.34
204,2001-01-29,22.86
205,2001-01-30,24.03
206,2001-01-31,23.62
207,2001-02-01,25.5
208,2001-02-02,23.75
209,2001-02-05,21.3
210,2001-02-06,19.25
211,2001-02-07,19.19
212,2001-02-08,18.25
213,2001-02-09,17.25
214,2001-02-12,16.97
215,2001-02-13,19.63
216,2001-02-14,18.13
217,2001-02-15,18.31
218,2001-02-16,17.7
219,2001-02-20,16.89
220,2001-02-21,15.5
221,2001-02-22,15.0
222,2001-02-23,15.19
223,2001-02-26,15.13
224,2001-02-27,16.81
225,2001-02-28,16.69
226,2001-03-01,16.13
227,2001-03-02,15.88
228,2001-03-05,16.22
229,2001-03-06,16.67
230,2001-03-07,16.27
231,2001-03-08,16.19
232,2001-03-09,14.88
233,2001-03-12,14.81
234,2001-03-13,14.59
235,2001-03-14,13.5
236,2001-03-15,11.5
237,2001-03-16,11.36
238,2001-03-19,10.44
239,2001-03-20,10.38
240,2001-03-21,10.81
241,2001-03-22,10.75
242,2001-03-23,11.42
243,2001-03-26,12.13
244,2001-03-27,11.75
245,2001-03-28,11.5
246,2001-03-29,10.94
247,2001-03-30,10.88
248,2001-04-02,10.98
249,2001-04-03,9.406
250,2001-04-04,9.0
251,2001-04-05,8.0
252,2001-04-06,8.563
253,2001-04-09,9.5
254,2001-04-10,9.9
255,2001-04-11,10.18
256,2001-04-12,11.44
257,2001-04-16,11.9
258,2001-04-17,11.6
259,2001-04-18,13.0
260,2001-04-19,15.39
261,2001-04-20,17.76
262,2001-04-23,17.8
263,2001-04-24,17.46
264,2001-04-25,14.51
265,2001-04-26,14.9
266,2001-04-27,15.06
267,2001-04-30,15.11
268,2001-05-01,14.88
269,2001-05-02,14.38
270,2001-05-03,14.9
271,2001-05-04,15.01
272,2001-05-07,15.1
273,2001-05-08,15.0
274,2001-05-09,14.77
275,2001-05-10,15.0
276,2001-05-11,15.26
277,2001-05-14,15.15
278,2001-05-15,15.14
279,2001-05-16,14.6
280,2001-05-17,14.96
281,2001-05-18,15.0
282,2001-05-21,15.05
283,2001-05-22,16.72
284,2001-05-23,16.56
285,2001-05-24,16.0
286,2001-05-25,17.31
287,2001-05-29,17.36
288,2001-05-30,18.04
289,2001-05-31,14.97
290,2001-06-01,15.89
291,2001-06-04,15.55
292,2001-06-05,15.31
293,2001-06-06,15.61
294,2001-06-07,15.31
295,2001-06-08,15.2
296,2001-06-11,15.08
297,2001-06-12,14.61
298,2001-06-13,14.71
299,2001-06-14,14.33
300,2001-06-15,13.25
301,2001-06-18,13.19
302,2001-06-19,12.99
303,2001-06-20,12.5
304,2001-06-21,12.25
305,2001-06-22,13.08
306,2001-06-25,12.9
307,2001-06-26,13.76
308,2001-06-27,13.7
309,2001-06-28,13.98
310,2001-06-29,13.75
311,2001-07-02,14.11
312,2001-07-03,14.51
313,2001-07-05,13.45
314,2001-07-06,14.2
315,2001-07-09,14.2
316,2001-07-10,14.68
317,2001-07-11,14.0
318,2001-07-12,13.9
319,2001-07-13,14.22
320,2001-07-16,14.35
321,2001-07-17,14.01
322,2001-07-18,14.01
323,2001-07-19,14.87
324,2001-07-20,14.99
325,2001-07-23,14.46
326,2001-07-24,13.99
327,2001-07-25,13.34
328,2001-07-26,13.49
329,2001-07-27,14.3
330,2001-07-30,13.79
331,2001-07-31,13.65
332,2001-08-01,13.58
333,2001-08-02,14.0
334,2001-08-03,13.69
335,2001-08-06,13.24
336,2001-08-07,12.07
337,2001-08-08,12.41
338,2001-08-09,13.31
339,2001-08-10,13.3
340,2001-08-13,13.5
341,2001-08-14,13.97
342,2001-08-15,14.0
343,2001-08-16,14.4
344,2001-08-17,13.98
345,2001-08-20,12.9
346,2001-08-21,12.6
347,2001-08-22,12.15
348,2001-08-23,11.59
349,2001-08-24,11.6
350,2001-08-27,11.84
351,2001-08-28,11.74
352,2001-08-29,11.11
353,2001-08-30,10.7
354,2001-08-31,10.35
355,2001-09-04,10.05
356,2001-09-05,9.25
357,2001-09-06,9.17
358,2001-09-07,9.15
359,2001-09-10,8.8
360,2001-09-17,7.42
361,2001-09-18,7.65
362,2001-09-19,7.0
363,2001-09-20,6.74
364,2001-09-21,6.21
365,2001-09-24,6.05
366,2001-09-25,6.0
367,2001-09-26,6.18
368,2001-09-27,5.81
369,2001-09-28,5.89
370,2001-10-01,7.385
371,2001-10-02,7.14
372,2001-10-03,7.77
373,2001-10-04,7.98
374,2001-10-05,8.67
375,2001-10-08,8.8
376,2001-10-09,8.2
377,2001-10-10,7.74
378,2001-10-11,8.1
379,2001-10-12,8.47
380,2001-10-15,7.93
381,2001-10-16,8.3
382,2001-10-17,7.93
383,2001-10-18,7.2
384,2001-10-19,7.7
385,2001-10-22,8.49
386,2001-10-23,8.51
387,2001-10-24,8.26
388,2001-10-25,8.15
389,2001-10-26,8.22
390,2001-10-29,8.26
391,2001-10-30,8.05
392,2001-10-31,8.01
393,2001-11-01,8.19
394,2001-11-02,8.09
395,2001-11-05,8.34
396,2001-11-06,8.35
397,2001-11-07,9.0
398,2001-11-08,8.01
399,2001-11-09,8.14
400,2001-11-12,8.16
401,2001-11-13,7.9
402,2001-11-14,7.87
403,2001-11-15,7.99
404,2001-11-16,7.93
405,2001-11-19,7.94
406,2001-11-20,8.14
407,2001-11-21,8.22
408,2001-11-23,8.46
409,2001-11-26,8.26
410,2001-11-27,8.47
411,2001-11-28,8.24
412,2001-11-29,8.06
413,2001-11-30,8.69
414,2001-12-03,8.08
415,2001-12-04,7.92
416,2001-12-05,8.3
417,2001-12-06,9.0
418,2001-12-07,9.2
419,2001-12-10,9.35
420,2001-12-11,8.76
421,2001-12-12,8.97
422,2001-12-13,8.315
423,2001-12-14,8.08
424,2001-12-17,7.39
425,2001-12-18,7.53
426,2001-12-19,7.5
427,2001-12-20,8.21
428,2001-12-21,7.85
429,2001-12-24,8.06
430,2001-12-26,8.05
431,2001-12-27,8.34
432,2001-12-28,8.57
433,2001-12-31,8.24
434,2002-01-02,9.55
435,2002-01-03,9.81
436,2002-01-04,10.2
437,2002-01-07,9.89
438,2002-01-08,9.885
439,2002-01-09,9.15
440,2002-01-10,10.19
441,2002-01-11,10.2
442,2002-01-14,9.99
443,2002-01-15,9.55
444,2002-01-16,9.53
445,2002-01-17,9.49
446,2002-01-18,9.55
447,2002-01-22,9.79
448,2002-01-23,9.65
449,2002-01-24,9.59
450,2002-01-25,9.35
451,2002-01-28,9.55
452,2002-01-29,9.3
453,2002-01-30,9.09
454,2002-01-31,9.4
455,2002-02-01,9.59
456,2002-02-04,9.26
457,2002-02-05,8.25
458,2002-02-06,7.57
459,2002-02-07,7.95
460,2002-02-08,8.5
461,2002-02-11,8.5
462,2002-02-12,8.27
463,2002-02-13,8.14
464,2002-02-14,8.42
465,2002-02-15,8.42
