,date,open
0,2016-03-03,12.11
1,2016-03-04,12.06
2,2016-03-07,11.65
3,2016-03-08,10.81
4,2016-03-09,13.5
5,2016-03-10,15.0
6,2016-03-11,13.45
7,2016-03-14,12.9
8,2016-03-15,11.75
9,2016-03-16,12.08
10,2016-03-17,11.78
11,2016-03-18,11.71
12,2016-03-21,11.85
13,2016-03-22,12.12
14,2016-03-23,13.24
15,2016-03-24,13.17
16,2016-03-28,12.95
17,2016-03-29,13.94
18,2016-03-30,13.3
19,2016-03-31,12.8211
20,2016-04-01,13.53
21,2016-04-04,13.1
22,2016-04-05,14.02
23,2016-04-06,15.43
24,2016-04-07,17.04
25,2016-04-08,16.49
26,2016-04-11,15.1
27,2016-04-12,15.21
28,2016-04-13,15.77
29,2016-04-14,16.258
30,2016-04-15,15.69
31,2016-04-18,15.67
32,2016-04-19,15.41
33,2016-04-20,15.9
34,2016-04-21,15.4764
35,2016-04-22,15.66
36,2016-04-25,15.89
37,2016-04-26,15.29
38,2016-04-27,14.9
39,2016-04-28,14.24
40,2016-04-29,13.78
41,2016-05-02,14.1041
42,2016-05-03,14.7
43,2016-05-04,14.24
44,2016-05-05,14.211
45,2016-05-06,14.0
46,2016-05-09,14.69
47,2016-05-10,14.46
48,2016-05-11,13.71
49,2016-05-12,13.59
50,2016-05-13,13.36
51,2016-05-16,12.62
52,2016-05-17,12.71
53,2016-05-18,12.69
54,2016-05-19,12.8001
55,2016-05-20,13.73
56,2016-05-23,13.7
57,2016-05-24,14.3
58,2016-05-25,14.16
59,2016-05-26,13.54
60,2016-05-27,14.27
61,2016-05-31,13.8
62,2016-06-01,13.65
63,2016-06-02,13.8
64,2016-06-03,13.06
65,2016-06-06,13.73
66,2016-06-07,14.12
67,2016-06-08,14.72
68,2016-06-09,14.11
69,2016-06-10,13.56
70,2016-06-13,14.49
71,2016-06-14,13.71
72,2016-06-15,13.09
73,2016-06-16,12.99
74,2016-06-17,12.14
75,2016-06-20,13.0799
76,2016-06-21,12.57
77,2016-06-22,11.6
78,2016-06-23,11.515
79,2016-06-24,11.31
80,2016-06-27,10.46
81,2016-06-28,9.43
82,2016-06-29,9.72
83,2016-06-30,9.85
84,2016-07-01,9.98
85,2016-07-05,10.03
86,2016-07-06,9.9
87,2016-07-07,10.16
88,2016-07-08,10.347
89,2016-07-11,10.97
90,2016-07-12,11.05
91,2016-07-13,11.47
92,2016-07-14,11.58
93,2016-07-15,11.26
94,2016-07-18,11.78
95,2016-07-19,11.985
96,2016-07-20,12.24
97,2016-07-21,12.02
98,2016-07-22,12.2
99,2016-07-25,12.45
100,2016-07-26,12.35
101,2016-07-27,12.1
102,2016-07-28,12.31
103,2016-07-29,12.18
104,2016-08-01,12.44
105,2016-08-02,12.3
106,2016-08-03,12.6297
107,2016-08-04,12.62
108,2016-08-05,12.63
109,2016-08-08,12.59
110,2016-08-09,13.24
111,2016-08-10,14.28
112,2016-08-11,14.12
113,2016-08-12,13.97
114,2016-08-15,14.0
115,2016-08-16,14.21
116,2016-08-17,13.8
117,2016-08-18,14.19
118,2016-08-19,13.93
119,2016-08-22,14.26
120,2016-08-23,15.0
121,2016-08-24,17.25
122,2016-08-25,14.78
123,2016-08-26,13.59
124,2016-08-29,14.2
125,2016-08-30,14.39
126,2016-08-31,14.15
127,2016-09-01,14.22
128,2016-09-02,14.01
129,2016-09-06,14.51
130,2016-09-07,14.12
131,2016-09-08,13.95
132,2016-09-09,13.73
133,2016-09-12,13.27
134,2016-09-13,13.98
135,2016-09-14,13.48
136,2016-09-15,14.44
137,2016-09-16,14.79
138,2016-09-19,15.2221
139,2016-09-20,14.09
140,2016-09-21,14.04
141,2016-09-22,13.92
142,2016-09-23,13.9
143,2016-09-26,13.3
144,2016-09-27,13.21
145,2016-09-28,12.8
146,2016-09-29,14.53
147,2016-09-30,15.04
148,2016-10-03,15.03
149,2016-10-04,15.23
150,2016-10-05,15.7999
151,2016-10-06,16.07
152,2016-10-07,16.12
153,2016-10-10,15.16
154,2016-10-11,15.3
155,2016-10-12,15.17
156,2016-10-13,14.16
157,2016-10-14,14.72
158,2016-10-17,14.31
159,2016-10-18,14.69
160,2016-10-19,14.95
161,2016-10-20,14.633
162,2016-10-21,15.0
163,2016-10-24,14.44
164,2016-10-25,14.4386
165,2016-10-26,13.51
166,2016-10-27,12.96
167,2016-10-28,11.811
168,2016-10-31,11.41
169,2016-11-01,11.94
170,2016-11-02,11.59
171,2016-11-03,11.88
172,2016-11-04,10.45
173,2016-11-07,10.29
174,2016-11-08,10.35
175,2016-11-09,10.2
176,2016-11-10,10.33
177,2016-11-11,10.25
178,2016-11-14,10.5
179,2016-11-15,10.15
180,2016-11-16,9.95
181,2016-11-17,10.03
182,2016-11-18,9.95
183,2016-11-21,10.17
184,2016-11-22,10.42
185,2016-11-23,9.935
186,2016-11-25,9.88
187,2016-11-28,10.03
188,2016-11-29,9.94
189,2016-11-30,10.25
190,2016-12-01,9.64
191,2016-12-02,9.13
192,2016-12-05,9.21
193,2016-12-06,9.46
194,2016-12-07,9.88
195,2016-12-08,9.28
196,2016-12-09,9.32
197,2016-12-12,8.6
198,2016-12-13,7.91
199,2016-12-14,7.93
200,2016-12-15,8.74
201,2016-12-16,8.69
202,2016-12-19,8.17
203,2016-12-20,8.0
204,2016-12-21,7.87
205,2016-12-22,7.66
206,2016-12-23,7.37
207,2016-12-27,7.56
208,2016-12-28,7.43
209,2016-12-29,7.12
210,2016-12-30,7.04
211,2017-01-03,7.2
212,2017-01-04,7.32
213,2017-01-05,7.06
214,2017-01-06,6.67
215,2017-01-09,6.77
216,2017-01-10,6.82
217,2017-01-11,7.8
218,2017-01-12,7.13
219,2017-01-13,7.79
220,2017-01-17,7.82
221,2017-01-18,7.73
222,2017-01-19,7.62
223,2017-01-20,7.08
224,2017-01-23,6.94
225,2017-01-24,7.32
226,2017-01-25,7.56
227,2017-01-26,7.48
228,2017-01-27,7.39
229,2017-01-30,7.32
230,2017-01-31,7.46
231,2017-02-01,7.55
232,2017-02-02,8.0
233,2017-02-03,8.13
234,2017-02-06,8.38
235,2017-02-07,8.75
236,2017-02-08,8.69
237,2017-02-09,8.53
238,2017-02-10,10.0
239,2017-02-13,10.2
240,2017-02-14,10.45
241,2017-02-15,9.9
242,2017-02-16,10.55
243,2017-02-17,10.76
244,2017-02-21,11.51
245,2017-02-22,11.83
246,2017-02-23,11.56
247,2017-02-24,10.86
248,2017-02-27,10.77
249,2017-02-28,11.17
250,2017-03-01,11.74
251,2017-03-02,11.88
252,2017-03-03,12.13
253,2017-03-06,12.22
254,2017-03-07,11.82
255,2017-03-08,11.78
256,2017-03-09,12.45
257,2017-03-10,13.06
258,2017-03-13,13.3
259,2017-03-14,14.86
260,2017-03-15,14.76
261,2017-03-16,15.0
262,2017-03-17,14.47
263,2017-03-20,14.65
264,2017-03-21,14.32
265,2017-03-22,13.19
266,2017-03-23,12.87
267,2017-03-24,13.2
268,2017-03-27,12.9
269,2017-03-28,13.0
270,2017-03-29,13.71
271,2017-03-30,14.0184
272,2017-03-31,13.95
273,2017-04-03,13.72
274,2017-04-04,13.0
275,2017-04-05,13.32
276,2017-04-06,12.88
277,2017-04-07,12.4
278,2017-04-10,12.5
279,2017-04-11,11.73
280,2017-04-12,11.695
281,2017-04-13,11.15
282,2017-04-17,10.94
283,2017-04-18,10.52
284,2017-04-19,10.94
285,2017-04-20,11.35
286,2017-04-21,11.14
287,2017-04-24,10.66
288,2017-04-25,10.31
289,2017-04-26,9.8
290,2017-04-27,9.5
291,2017-04-28,9.5
292,2017-05-01,9.57
293,2017-05-02,9.19
294,2017-05-03,8.82
295,2017-05-04,8.64
296,2017-05-05,8.5
297,2017-05-08,8.42
298,2017-05-09,8.01
299,2017-05-10,7.76
300,2017-05-11,8.33
301,2017-05-12,8.67
302,2017-05-15,8.76
303,2017-05-16,9.09
304,2017-05-17,10.8
305,2017-05-18,14.54
306,2017-05-19,13.65
307,2017-05-22,14.47
308,2017-05-23,14.59
309,2017-05-24,13.8
310,2017-05-25,12.87
311,2017-05-26,12.92
312,2017-05-30,13.24
313,2017-05-31,12.69
314,2017-06-01,12.14
315,2017-06-02,12.56
316,2017-06-05,12.51
317,2017-06-06,11.43
318,2017-06-07,10.85
319,2017-06-08,10.47
320,2017-06-09,10.36
321,2017-06-12,10.34
322,2017-06-13,9.7
323,2017-06-14,10.62
324,2017-06-15,10.75
325,2017-06-16,10.83
326,2017-06-19,11.12
327,2017-06-20,11.96
328,2017-06-21,13.11
329,2017-06-22,13.37
330,2017-06-23,13.34
331,2017-06-26,13.25
332,2017-06-27,13.9
333,2017-06-28,14.39
334,2017-06-29,14.69
335,2017-06-30,14.4
336,2017-07-03,14.02
337,2017-07-05,13.96
338,2017-07-06,13.97
339,2017-07-07,13.61
340,2017-07-10,13.43
341,2017-07-11,13.16
342,2017-07-12,13.36
343,2017-07-13,13.25
344,2017-07-14,13.3
345,2017-07-17,13.3
346,2017-07-18,13.27
347,2017-07-19,13.29
348,2017-07-20,13.24
349,2017-07-21,13.26
350,2017-07-24,13.95
351,2017-07-25,13.93
352,2017-07-26,13.45
353,2017-07-27,13.3
354,2017-07-28,12.78
355,2017-07-31,12.82
356,2017-08-01,12.2
357,2017-08-02,12.03
358,2017-08-03,12.42
359,2017-08-04,11.95
360,2017-08-07,12.7
361,2017-08-08,12.5
362,2017-08-09,11.91
363,2017-08-10,11.58
364,2017-08-11,11.0
365,2017-08-14,11.27
366,2017-08-15,11.91
367,2017-08-16,11.45
368,2017-08-17,11.28
369,2017-08-18,10.97
370,2017-08-21,10.98
371,2017-08-22,11.13
372,2017-08-23,11.09
373,2017-08-24,11.38
374,2017-08-25,11.96
375,2017-08-28,11.57
376,2017-08-29,12.23
377,2017-08-30,11.87
378,2017-08-31,11.69
379,2017-09-01,11.945
380,2017-09-05,12.65
381,2017-09-06,12.58
382,2017-09-07,12.65
383,2017-09-08,12.55
384,2017-09-11,12.75
385,2017-09-12,12.49
386,2017-09-13,11.55
387,2017-09-14,11.95
388,2017-09-15,11.66
389,2017-09-18,11.99
390,2017-09-19,11.75
391,2017-09-20,11.85
392,2017-09-21,11.62
393,2017-09-22,11.49
394,2017-09-25,11.3
395,2017-09-26,11.49
396,2017-09-27,11.37
397,2017-09-28,11.48
398,2017-09-29,11.93
399,2017-10-02,11.77
400,2017-10-03,13.33
401,2017-10-04,12.3
402,2017-10-05,13.07
403,2017-10-06,12.75
404,2017-10-09,12.255
405,2017-10-10,12.13
406,2017-10-11,11.84
407,2017-10-12,11.94
408,2017-10-13,11.98
409,2017-10-16,12.5
410,2017-10-17,12.6
411,2017-10-18,12.34
412,2017-10-19,12.19
413,2017-10-20,12.17
414,2017-10-23,11.84
415,2017-10-24,11.54
416,2017-10-25,11.0
417,2017-10-26,10.91
418,2017-10-27,10.5
419,2017-10-30,11.0
420,2017-10-31,11.77
421,2017-11-01,11.3
422,2017-11-02,11.05
423,2017-11-03,11.21
424,2017-11-06,11.51
425,2017-11-07,11.33
426,2017-11-08,10.67
427,2017-11-09,10.1
428,2017-11-10,10.05
429,2017-11-13,10.45
430,2017-11-14,8.66
431,2017-11-15,8.28
432,2017-11-16,8.62
433,2017-11-17,8.51
434,2017-11-20,8.96
435,2017-11-21,8.58
436,2017-11-22,8.31
437,2017-11-24,8.28
438,2017-11-27,8.2
439,2017-11-28,8.24
440,2017-11-29,8.18
441,2017-11-30,8.47
442,2017-12-01,8.72
443,2017-12-04,8.42
444,2017-12-05,8.19
445,2017-12-06,8.16
446,2017-12-07,7.92
447,2017-12-08,8.12
448,2017-12-11,8.51
449,2017-12-12,8.26
450,2017-12-13,8.58
451,2017-12-14,8.53
452,2017-12-15,8.9
453,2017-12-18,8.03
454,2017-12-19,8.02
455,2017-12-20,7.8
456,2017-12-21,7.94
457,2017-12-22,8.22
458,2017-12-26,8.57
459,2017-12-27,8.34
460,2017-12-28,8.5
461,2017-12-29,8.68
462,2018-01-02,8.74
463,2018-01-03,8.8
464,2018-01-04,8.89
465,2018-01-05,9.33
466,2018-01-08,9.8
467,2018-01-09,8.95
468,2018-01-10,9.48
469,2018-01-11,9.35
470,2018-01-12,9.47
471,2018-01-16,9.27
472,2018-01-17,9.29
473,2018-01-18,9.07
474,2018-01-19,9.77
475,2018-01-22,10.57
476,2018-01-23,11.08
477,2018-01-24,10.41
478,2018-01-25,10.08
479,2018-01-26,10.72
480,2018-01-29,11.45
481,2018-01-30,12.11
482,2018-01-31,11.22
483,2018-02-01,11.62
484,2018-02-02,11.19
485,2018-02-05,10.99
