,date,open
0,1997-06-04,42.75
1,1997-06-05,39.75
2,1997-06-06,40.128
3,1997-06-09,39.0
4,1997-06-10,38.628
5,1997-06-11,39.378
6,1997-06-12,39.0
7,1997-06-13,38.25
8,1997-06-16,37.5
9,1997-06-17,36.0
10,1997-06-18,36.378
11,1997-06-19,37.5
12,1997-06-20,37.878
13,1997-06-23,37.5
14,1997-06-24,37.128
15,1997-06-25,37.878
16,1997-06-26,37.878
17,1997-06-27,37.878
18,1997-06-30,40.878
19,1997-07-01,45.75
20,1997-07-02,44.25
21,1997-07-03,44.25
22,1997-07-07,44.25
23,1997-07-08,42.378
24,1997-07-09,40.5
25,1997-07-10,39.0
26,1997-07-11,40.14
27,1997-07-14,40.5
28,1997-07-15,39.0
29,1997-07-16,39.0
30,1997-07-17,40.878
31,1997-07-18,43.5
32,1997-07-21,42.0
33,1997-07-22,41.25
34,1997-07-23,40.128
35,1997-07-24,39.0
36,1997-07-25,40.128
37,1997-07-28,39.0
38,1997-07-29,39.0
39,1997-07-30,40.128
40,1997-07-31,39.378
41,1997-08-01,40.5
42,1997-08-04,40.5
43,1997-08-05,39.0
44,1997-08-06,39.378
45,1997-08-07,40.128
46,1997-08-08,40.878
47,1997-08-11,41.628
48,1997-08-12,42.75
49,1997-08-13,45.0
50,1997-08-14,43.878
51,1997-08-15,45.0
52,1997-08-18,42.75
53,1997-08-19,40.5
54,1997-08-20,40.5
55,1997-08-21,40.128
56,1997-08-22,42.0
57,1997-08-25,41.628
58,1997-08-26,42.0
59,1997-08-27,42.0
60,1997-08-28,40.128
61,1997-08-29,39.75
62,1997-09-02,40.5
63,1997-09-03,39.0
64,1997-09-04,41.25
65,1997-09-05,41.25
66,1997-09-08,40.5
67,1997-09-09,41.25
68,1997-09-10,41.25
69,1997-09-11,40.128
70,1997-09-12,40.128
71,1997-09-15,39.75
72,1997-09-16,41.25
73,1997-09-17,41.628
74,1997-09-18,42.0
75,1997-09-19,41.25
76,1997-09-22,42.378
77,1997-09-23,42.0
78,1997-09-24,42.0
79,1997-09-25,42.0
80,1997-09-26,45.0
81,1997-09-29,45.0
82,1997-09-30,43.5
83,1997-10-01,43.128
84,1997-10-02,45.0
85,1997-10-03,45.0
86,1997-10-06,51.75
87,1997-10-07,56.25
88,1997-10-08,57.0
89,1997-10-09,54.846
90,1997-10-10,53.628
91,1997-10-13,54.75
92,1997-10-14,53.628
93,1997-10-15,52.5
94,1997-10-16,54.75
95,1997-10-17,53.628
96,1997-10-20,53.25
97,1997-10-21,52.5
98,1997-10-22,54.0
99,1997-10-23,53.25
100,1997-10-24,52.5
101,1997-10-27,51.0
102,1997-10-28,40.782
103,1997-10-29,48.75
104,1997-10-30,48.378
105,1997-10-31,49.5
106,1997-11-03,48.0
107,1997-11-04,48.0
108,1997-11-05,56.25
109,1997-11-06,57.0
110,1997-11-07,52.5
111,1997-11-10,52.5
112,1997-11-11,52.5
113,1997-11-12,52.878
114,1997-11-13,52.5
115,1997-11-14,48.75
116,1997-11-17,50.25
117,1997-11-18,50.25
118,1997-11-19,49.5
119,1997-11-20,51.75
120,1997-11-21,50.25
121,1997-11-24,49.5
122,1997-11-25,49.128
123,1997-11-26,48.0
124,1997-11-28,48.378
125,1997-12-01,48.0
126,1997-12-02,50.25
127,1997-12-03,47.25
128,1997-12-04,46.5
129,1997-12-05,42.378
130,1997-12-08,43.5
131,1997-12-09,45.0
132,1997-12-10,42.75
133,1997-12-11,42.0
134,1997-12-12,42.75
135,1997-12-15,42.75
136,1997-12-16,40.878
137,1997-12-17,42.75
138,1997-12-18,42.75
139,1997-12-19,42.0
140,1997-12-22,42.75
141,1997-12-23,43.5
142,1997-12-24,42.0
143,1997-12-26,41.628
144,1997-12-29,41.628
145,1997-12-30,41.628
146,1997-12-31,40.128
147,1998-01-02,40.878
148,1998-01-05,40.878
149,1998-01-06,41.25
150,1998-01-07,44.25
151,1998-01-08,42.75
152,1998-01-09,38.628
153,1998-01-12,41.25
154,1998-01-13,39.378
155,1998-01-14,39.75
156,1998-01-15,40.878
157,1998-01-16,39.75
158,1998-01-20,38.628
159,1998-01-21,39.75
160,1998-01-22,41.25
161,1998-01-23,42.0
162,1998-01-26,40.878
163,1998-01-27,42.0
164,1998-01-28,42.0
165,1998-01-29,40.878
166,1998-01-30,39.75
167,1998-02-02,39.75
168,1998-02-03,40.5
169,1998-02-04,39.75
170,1998-02-05,39.0
171,1998-02-06,38.628
172,1998-02-09,39.378
173,1998-02-10,37.5
174,1998-02-11,36.75
175,1998-02-12,35.25
176,1998-02-13,39.378
177,1998-02-17,39.0
178,1998-02-18,40.5
179,1998-02-19,43.128
180,1998-02-20,43.128
181,1998-02-23,45.378
182,1998-02-24,44.25
183,1998-02-25,44.25
184,1998-02-26,43.878
185,1998-02-27,42.75
186,1998-03-02,43.878
187,1998-03-03,43.128
188,1998-03-04,42.378
189,1998-03-05,43.128
190,1998-03-06,42.378
191,1998-03-09,44.628
192,1998-03-10,44.628
193,1998-03-11,43.128
194,1998-03-12,42.378
195,1998-03-13,43.5
196,1998-03-16,42.75
197,1998-03-17,43.5
198,1998-03-18,42.0
199,1998-03-19,43.128
200,1998-03-20,41.25
201,1998-03-23,40.878
202,1998-03-24,41.25
203,1998-03-25,42.0
204,1998-03-26,40.878
205,1998-03-27,44.25
206,1998-03-30,43.5
207,1998-03-31,40.878
208,1998-04-01,42.75
209,1998-04-02,43.5
210,1998-04-03,43.128
211,1998-04-06,42.75
212,1998-04-07,42.0
213,1998-04-08,42.0
214,1998-04-09,41.628
215,1998-04-13,41.25
216,1998-04-14,39.75
217,1998-04-15,39.75
218,1998-04-16,41.25
219,1998-04-17,42.75
220,1998-04-20,43.878
221,1998-04-21,44.25
222,1998-04-22,44.25
223,1998-04-23,42.75
224,1998-04-24,42.75
225,1998-04-27,42.75
226,1998-04-28,41.628
227,1998-04-29,43.128
228,1998-04-30,44.628
229,1998-05-01,42.75
230,1998-05-04,42.75
231,1998-05-05,42.75
232,1998-05-06,42.0
233,1998-05-07,41.25
234,1998-05-08,39.75
235,1998-05-11,41.25
236,1998-05-12,39.0
237,1998-05-13,39.378
238,1998-05-14,40.5
239,1998-05-15,40.128
240,1998-05-18,39.75
241,1998-05-19,40.878
242,1998-05-20,44.25
243,1998-05-21,43.5
244,1998-05-22,42.0
