,date,open
0,2018-05-24,14.25
1,2018-05-25,15.21
2,2018-05-29,14.94
3,2018-05-30,16.0
4,2018-05-31,16.61
5,2018-06-01,17.63
6,2018-06-04,19.94
7,2018-06-05,17.25
8,2018-06-06,17.45
9,2018-06-07,16.53
10,2018-06-08,19.0
11,2018-06-11,18.74
12,2018-06-12,17.52
13,2018-06-13,17.98
14,2018-06-14,17.82
15,2018-06-15,18.7
16,2018-06-18,18.13
17,2018-06-19,21.35
18,2018-06-20,25.35
19,2018-06-21,22.29
20,2018-06-22,23.88
21,2018-06-25,21.49
22,2018-06-26,19.89
23,2018-06-27,21.64
24,2018-06-28,18.34
25,2018-06-29,15.92
26,2018-07-02,15.69
27,2018-07-03,14.86
28,2018-07-05,15.1
29,2018-07-06,15.46
30,2018-07-09,15.225
31,2018-07-10,14.88
32,2018-07-11,15.25
33,2018-07-12,15.66
34,2018-07-13,15.94
35,2018-07-16,15.79
36,2018-07-17,15.46
37,2018-07-18,15.23
38,2018-07-19,15.2
39,2018-07-20,15.32
40,2018-07-23,15.43
41,2018-07-24,15.09
42,2018-07-25,15.15
43,2018-07-26,15.86
44,2018-07-27,16.0
45,2018-07-30,15.65
46,2018-07-31,15.92
47,2018-08-01,16.5
48,2018-08-02,16.5
49,2018-08-03,15.705
50,2018-08-06,15.14
51,2018-08-07,15.25
52,2018-08-08,15.19
53,2018-08-09,14.9
54,2018-08-10,13.86
55,2018-08-13,14.35
56,2018-08-14,13.37
57,2018-08-15,13.82
58,2018-08-16,14.0
59,2018-08-17,14.85
60,2018-08-20,15.0
61,2018-08-21,16.22
62,2018-08-22,17.8901
63,2018-08-23,19.46
64,2018-08-24,19.9
65,2018-08-27,20.22
66,2018-08-28,18.73
67,2018-08-29,20.0
68,2018-08-30,18.56
69,2018-08-31,17.19
70,2018-09-04,17.12
71,2018-09-05,20.0
72,2018-09-06,19.96
73,2018-09-07,20.05
74,2018-09-10,23.01
75,2018-09-11,24.68
76,2018-09-12,25.34
77,2018-09-13,26.25
78,2018-09-14,26.51
79,2018-09-17,24.76
