,date,open
0,2019-06-19,27.21
1,2019-06-20,25.01
2,2019-06-21,25.84
3,2019-06-24,26.96
4,2019-06-25,25.75
5,2019-06-26,26.19
6,2019-06-27,26.54
7,2019-06-28,29.28
8,2019-07-01,29.89
9,2019-07-02,28.8
10,2019-07-03,28.63
11,2019-07-05,27.57
12,2019-07-08,28.28
13,2019-07-09,27.49
14,2019-07-10,26.73
15,2019-07-11,26.79
16,2019-07-12,27.91
17,2019-07-15,27.2
18,2019-07-16,26.22
19,2019-07-17,26.64
20,2019-07-18,24.56
21,2019-07-19,23.76
22,2019-07-22,23.29
23,2019-07-23,23.23
24,2019-07-24,25.26
25,2019-07-25,24.81
26,2019-07-26,23.05
27,2019-07-29,23.68
28,2019-07-30,23.53
29,2019-07-31,24.59
30,2019-08-01,24.73
31,2019-08-02,25.37
32,2019-08-05,25.99
33,2019-08-06,25.59
34,2019-08-07,26.39
35,2019-08-08,27.01
36,2019-08-09,27.82
37,2019-08-12,28.83
38,2019-08-13,28.18
39,2019-08-14,28.13
40,2019-08-15,30.36
41,2019-08-16,30.0
42,2019-08-19,30.89
43,2019-08-20,31.42
44,2019-08-21,32.83
45,2019-08-22,32.06
46,2019-08-23,31.74
47,2019-08-26,31.9
48,2019-08-27,35.31
49,2019-08-28,32.58
50,2019-08-29,34.86
51,2019-08-30,37.75
52,2019-09-03,37.76
53,2019-09-04,38.0
54,2019-09-05,36.05
55,2019-09-06,36.28
56,2019-09-09,35.71
57,2019-09-10,32.91
58,2019-09-11,28.83
59,2019-09-12,28.51
60,2019-09-13,27.64
61,2019-09-16,26.41
62,2019-09-17,23.81
63,2019-09-18,24.42
64,2019-09-19,22.75
65,2019-09-20,22.14
66,2019-09-23,23.14
67,2019-09-24,25.67
68,2019-09-25,24.95
69,2019-09-26,22.88
70,2019-09-27,21.49
71,2019-09-30,20.46
72,2019-10-01,21.75
73,2019-10-02,22.01
74,2019-10-03,21.68
75,2019-10-04,21.94
76,2019-10-07,21.69
77,2019-10-08,21.02
78,2019-10-09,21.67
79,2019-10-10,19.87
80,2019-10-11,20.77
81,2019-10-14,20.86
82,2019-10-15,20.44
83,2019-10-16,21.78
84,2019-10-17,22.31
85,2019-10-18,22.1
86,2019-10-21,22.42
87,2019-10-22,22.77
88,2019-10-23,23.05
89,2019-10-24,22.74
90,2019-10-25,23.26
91,2019-10-28,25.15
92,2019-10-29,26.11
93,2019-10-30,29.8
94,2019-10-31,29.0
