,date,open
0,2019-09-13,24.5
1,2019-09-16,22.59
2,2019-09-17,23.77
3,2019-09-18,23.55
4,2019-09-19,24.84
5,2019-09-20,24.99
6,2019-09-23,26.2
7,2019-09-24,27.97
8,2019-09-25,27.09
9,2019-09-26,23.9
10,2019-09-27,19.45
11,2019-09-30,19.34
12,2019-10-01,21.53
13,2019-10-02,18.5
14,2019-10-03,18.28
15,2019-10-04,19.08
16,2019-10-07,18.25
17,2019-10-08,18.71
18,2019-10-09,19.53
19,2019-10-10,19.0
20,2019-10-11,18.75
21,2019-10-14,19.0
22,2019-10-15,18.9
23,2019-10-16,18.93
24,2019-10-17,19.54
25,2019-10-18,19.52
26,2019-10-21,19.47
27,2019-10-22,20.67
28,2019-10-23,21.97
29,2019-10-24,20.39
30,2019-10-25,19.98
31,2019-10-28,21.75
32,2019-10-29,21.54
33,2019-10-30,20.73
34,2019-10-31,19.75
35,2019-11-01,19.1
36,2019-11-04,19.19
37,2019-11-05,18.22
38,2019-11-06,18.19
39,2019-11-07,18.98
40,2019-11-08,18.45
41,2019-11-11,18.36
42,2019-11-12,18.12
43,2019-11-13,17.71
44,2019-11-14,17.82
45,2019-11-15,17.8
46,2019-11-18,18.52
47,2019-11-19,18.85
48,2019-11-20,19.41
49,2019-11-21,21.89
50,2019-11-22,21.24
51,2019-11-25,20.0
52,2019-11-26,19.74
53,2019-11-27,21.5
54,2019-11-29,21.75
55,2019-12-02,22.9
56,2019-12-03,25.5
57,2019-12-04,26.29
58,2019-12-05,25.45
59,2019-12-06,24.73
60,2019-12-09,24.39
61,2019-12-10,27.47
62,2019-12-11,29.29
63,2019-12-12,28.03
64,2019-12-13,27.54
65,2019-12-16,29.12
66,2019-12-17,29.89
67,2019-12-18,30.2
68,2019-12-19,33.01
69,2019-12-20,34.71
70,2019-12-23,36.16
71,2019-12-24,36.66
72,2019-12-26,37.94
73,2019-12-27,39.7
74,2019-12-30,38.12
75,2019-12-31,36.9
76,2020-01-02,38.49
77,2020-01-03,33.93
78,2020-01-06,36.64
79,2020-01-07,34.7
80,2020-01-08,36.24
81,2020-01-09,36.38
82,2020-01-10,36.85
83,2020-01-13,36.44
84,2020-01-14,35.41
85,2020-01-15,35.15
86,2020-01-16,34.84
87,2020-01-17,36.01
88,2020-01-21,35.84
89,2020-01-22,35.64
90,2020-01-23,34.3
91,2020-01-24,35.55
92,2020-01-27,33.92
93,2020-01-28,38.5
94,2020-01-29,35.56
95,2020-01-30,36.2
96,2020-01-31,33.83
97,2020-02-03,32.02
98,2020-02-04,34.12
99,2020-02-05,33.73
100,2020-02-06,34.0
101,2020-02-07,32.5
102,2020-02-10,33.02
103,2020-02-11,31.22
104,2020-02-12,30.72
105,2020-02-13,33.07
106,2020-02-14,31.61
107,2020-02-18,31.2
108,2020-02-19,33.44
109,2020-02-20,32.71
110,2020-02-21,33.06
111,2020-02-24,32.15
112,2020-02-25,33.46
113,2020-02-26,31.81
114,2020-02-27,31.1
115,2020-02-28,31.18
116,2020-03-02,32.0
117,2020-03-03,33.7
118,2020-03-04,38.51
119,2020-03-05,39.26
120,2020-03-06,36.63
121,2020-03-09,33.26
122,2020-03-10,33.9
123,2020-03-11,32.57
124,2020-03-12,31.64
125,2020-03-13,29.0
126,2020-03-16,27.75
127,2020-03-17,21.03
128,2020-03-18,20.0
129,2020-03-19,28.3
130,2020-03-20,25.67
131,2020-03-23,26.54
132,2020-03-24,28.7
133,2020-03-25,28.1
134,2020-03-26,29.93
135,2020-03-27,29.23
136,2020-03-30,28.26
137,2020-03-31,27.77
138,2020-04-01,26.56
139,2020-04-02,23.01
140,2020-04-03,26.27
141,2020-04-06,26.67
142,2020-04-07,28.32
143,2020-04-08,26.96
144,2020-04-09,30.45
145,2020-04-13,29.43
146,2020-04-14,27.97
147,2020-04-15,29.03
148,2020-04-16,27.16
149,2020-04-17,28.31
150,2020-04-20,27.15
151,2020-04-21,27.41
152,2020-04-22,28.94
153,2020-04-23,28.7
154,2020-04-24,31.5
155,2020-04-27,31.69
156,2020-04-28,32.3
157,2020-04-29,32.9
158,2020-04-30,31.32
159,2020-05-01,29.75
160,2020-05-04,30.01
161,2020-05-05,32.78
162,2020-05-06,30.84
163,2020-05-07,30.57
164,2020-05-08,32.0
165,2020-05-11,31.6
166,2020-05-12,32.73
167,2020-05-13,34.36
168,2020-05-14,32.36
169,2020-05-15,36.8
170,2020-05-18,38.85
171,2020-05-19,35.24
172,2020-05-20,37.08
173,2020-05-21,37.82
174,2020-05-22,39.64
175,2020-05-26,41.47
176,2020-05-27,39.0
177,2020-05-28,37.32
178,2020-05-29,36.82
179,2020-06-01,38.13
180,2020-06-02,38.88
181,2020-06-03,41.2
182,2020-06-04,39.63
183,2020-06-05,38.3
184,2020-06-08,37.57
185,2020-06-09,39.45
186,2020-06-10,42.39
187,2020-06-11,44.45
188,2020-06-12,40.21
189,2020-06-15,42.95
190,2020-06-16,45.95
191,2020-06-17,47.11
