,date,open
0,2020-10-16,16.2
1,2020-10-19,18.3
2,2020-10-20,22.4
3,2020-10-21,21.5
4,2020-10-22,24.12
5,2020-10-23,23.01
6,2020-10-26,23.75
7,2020-10-27,20.3298
8,2020-10-28,19.62
9,2020-10-29,20.0
10,2020-10-30,19.04
11,2020-11-02,20.8
12,2020-11-03,21.43
13,2020-11-04,23.5
14,2020-11-05,25.97
15,2020-11-06,27.33
16,2020-11-09,25.88
17,2020-11-10,23.9
18,2020-11-11,21.53
19,2020-11-12,21.75
20,2020-11-13,22.86
21,2020-11-16,25.93
22,2020-11-17,24.75
23,2020-11-18,24.43
24,2020-11-19,21.94
25,2020-11-20,23.64
26,2020-11-23,23.0
27,2020-11-24,21.39
28,2020-11-25,21.96
29,2020-11-27,20.29
30,2020-11-30,23.0
31,2020-12-01,23.71
32,2020-12-02,23.25
33,2020-12-03,22.0
34,2020-12-04,22.35
35,2020-12-07,24.84
36,2020-12-08,27.06
37,2020-12-09,29.63
38,2020-12-10,30.44
39,2020-12-11,35.81
40,2020-12-14,34.04
41,2020-12-15,41.54
42,2020-12-16,36.77
43,2020-12-17,43.47
44,2020-12-18,45.9
45,2020-12-21,48.88
46,2020-12-22,44.61
47,2020-12-23,46.65
48,2020-12-24,45.47
49,2020-12-28,43.5
50,2020-12-29,40.44
51,2020-12-30,40.14
52,2020-12-31,42.05
53,2021-01-04,41.72
54,2021-01-05,41.68
55,2021-01-06,41.85
56,2021-01-07,44.82
57,2021-01-08,47.62
58,2021-01-11,47.1358
59,2021-01-12,45.23
60,2021-01-13,42.29
61,2021-01-14,43.33
62,2021-01-15,43.62
63,2021-01-19,43.83
64,2021-01-20,42.64
65,2021-01-21,41.21
66,2021-01-22,41.58
67,2021-01-25,40.63
68,2021-01-26,41.51
69,2021-01-27,39.05
70,2021-01-28,38.77
71,2021-01-29,39.48
72,2021-02-01,38.17
73,2021-02-02,38.82
74,2021-02-03,37.32
75,2021-02-04,39.21
76,2021-02-05,40.65
77,2021-02-08,42.31
78,2021-02-09,40.24
79,2021-02-10,39.72
80,2021-02-11,38.91
81,2021-02-12,36.5
82,2021-02-16,36.85
83,2021-02-17,36.49
84,2021-02-18,35.99
85,2021-02-19,40.48
86,2021-02-22,38.3
87,2021-02-23,34.09
88,2021-02-24,36.0
89,2021-02-25,40.33
90,2021-02-26,37.86
91,2021-03-01,37.64
92,2021-03-02,36.91
93,2021-03-03,35.73
94,2021-03-04,33.85
95,2021-03-05,30.05
96,2021-03-08,31.64
97,2021-03-09,32.0
98,2021-03-10,33.11
99,2021-03-11,31.57
100,2021-03-12,31.82
101,2021-03-15,33.1
102,2021-03-16,33.36
103,2021-03-17,33.23
104,2021-03-18,32.9
105,2021-03-19,32.5
106,2021-03-22,32.24
107,2021-03-23,30.78
108,2021-03-24,30.57
109,2021-03-25,30.0
110,2021-03-26,30.49
111,2021-03-29,29.1
112,2021-03-30,27.01
113,2021-03-31,28.31
114,2021-04-01,32.55
115,2021-04-05,33.06
116,2021-04-06,32.82
117,2021-04-07,31.26
118,2021-04-08,27.98
119,2021-04-09,28.455
120,2021-04-12,28.97
121,2021-04-13,29.3
122,2021-04-14,30.79
123,2021-04-15,31.72
124,2021-04-16,30.64
125,2021-04-19,28.71
126,2021-04-20,28.01
127,2021-04-21,27.09
128,2021-04-22,28.035
129,2021-04-23,32.0
130,2021-04-26,30.52
131,2021-04-27,32.74
132,2021-04-28,31.8
133,2021-04-29,31.53
134,2021-04-30,29.18
135,2021-05-03,30.85
