,date,open
0,2018-06-28,25.0
1,2018-06-29,26.31
2,2018-07-02,29.46
3,2018-07-03,30.41
4,2018-07-05,34.0
5,2018-07-06,34.01
6,2018-07-09,30.76
7,2018-07-10,31.07
8,2018-07-11,32.86
9,2018-07-12,31.58
10,2018-07-13,30.689
11,2018-07-16,29.1
12,2018-07-17,29.31
13,2018-07-18,29.0
14,2018-07-19,29.25
15,2018-07-20,29.51
16,2018-07-23,28.43
17,2018-07-24,29.45
18,2018-07-25,27.18
19,2018-07-26,26.77
20,2018-07-27,25.5
21,2018-07-30,23.47
22,2018-07-31,22.59
23,2018-08-01,23.86
24,2018-08-02,22.79
25,2018-08-03,22.31
26,2018-08-06,23.65
27,2018-08-07,23.96
28,2018-08-08,23.96
29,2018-08-09,22.77
30,2018-08-10,23.58
31,2018-08-13,23.85
32,2018-08-14,23.46
33,2018-08-15,23.5
34,2018-08-16,23.5
35,2018-08-17,23.5
36,2018-08-20,23.57
37,2018-08-21,23.5
38,2018-08-22,23.51
39,2018-08-23,24.49
40,2018-08-24,25.37
41,2018-08-27,26.89
42,2018-08-28,25.8
43,2018-08-29,27.31
44,2018-08-30,29.36
45,2018-08-31,31.05
46,2018-09-04,30.94
47,2018-09-05,32.35
48,2018-09-06,37.19
49,2018-09-07,36.25
50,2018-09-10,36.44
51,2018-09-11,38.92
52,2018-09-12,34.72
53,2018-09-13,35.25
54,2018-09-14,36.05
55,2018-09-17,35.54
56,2018-09-18,34.43
57,2018-09-19,35.54
58,2018-09-20,35.85
59,2018-09-21,36.61
60,2018-09-24,36.01
61,2018-09-25,33.77
62,2018-09-26,33.78
63,2018-09-27,32.81
64,2018-09-28,31.745
65,2018-10-01,30.65
66,2018-10-02,30.01
67,2018-10-03,29.92
68,2018-10-04,28.68
69,2018-10-05,28.17
70,2018-10-08,27.72
71,2018-10-09,27.4
72,2018-10-10,27.67
73,2018-10-11,27.92
74,2018-10-12,29.3
75,2018-10-15,28.47
76,2018-10-16,29.22
77,2018-10-17,30.34
78,2018-10-18,30.57
79,2018-10-19,29.9
80,2018-10-22,30.16
81,2018-10-23,29.66
82,2018-10-24,30.55
83,2018-10-25,26.01
84,2018-10-26,27.1
85,2018-10-29,28.37
86,2018-10-30,27.07
87,2018-10-31,26.71
88,2018-11-01,27.22
89,2018-11-02,27.88
90,2018-11-05,27.95
91,2018-11-06,27.66
92,2018-11-07,26.93
93,2018-11-08,27.01
94,2018-11-09,28.17
95,2018-11-12,29.46
96,2018-11-13,28.9
97,2018-11-14,29.81
98,2018-11-15,30.78
99,2018-11-16,30.03
100,2018-11-19,31.33
101,2018-11-20,28.87
102,2018-11-21,29.15
103,2018-11-23,30.07
104,2018-11-26,30.3
105,2018-11-27,28.9
106,2018-11-28,27.82
107,2018-11-29,30.52
108,2018-11-30,29.39
109,2018-12-03,30.65
110,2018-12-04,30.37
111,2018-12-06,28.05
112,2018-12-07,29.35
113,2018-12-10,29.57
114,2018-12-11,32.0
115,2018-12-12,32.66
116,2018-12-13,31.48
117,2018-12-14,30.61
118,2018-12-17,31.61
119,2018-12-18,31.24
120,2018-12-19,29.82
121,2018-12-20,30.08
122,2018-12-21,27.92
123,2018-12-24,23.76
124,2018-12-26,24.87
125,2018-12-27,24.43
126,2018-12-28,23.52
127,2018-12-31,23.57
128,2019-01-02,23.18
129,2019-01-03,22.87
130,2019-01-04,21.36
131,2019-01-07,23.14
132,2019-01-08,22.89
133,2019-01-09,22.94
134,2019-01-10,22.78
135,2019-01-11,22.57
136,2019-01-14,23.23
137,2019-01-15,22.1
138,2019-01-16,22.36
139,2019-01-17,22.59
140,2019-01-18,21.45
141,2019-01-22,21.98
142,2019-01-23,22.15
143,2019-01-24,20.95
144,2019-01-25,21.31
145,2019-01-28,20.93
146,2019-01-29,20.11
147,2019-01-30,20.1
148,2019-01-31,20.68
149,2019-02-01,21.94
150,2019-02-04,21.11
151,2019-02-05,20.54
152,2019-02-06,21.42
153,2019-02-07,21.05
154,2019-02-08,20.83
155,2019-02-11,21.9
156,2019-02-12,22.33
157,2019-02-13,21.97
158,2019-02-14,22.36
159,2019-02-15,22.37
160,2019-02-19,23.06
161,2019-02-20,22.87
162,2019-02-21,22.75
163,2019-02-22,22.44
164,2019-02-25,22.8
165,2019-02-26,22.23
166,2019-02-27,22.95
167,2019-02-28,23.0
168,2019-03-01,23.16
169,2019-03-04,23.84
170,2019-03-05,23.99
171,2019-03-06,24.55
172,2019-03-07,23.81
173,2019-03-08,23.01
174,2019-03-11,22.59
175,2019-03-12,23.6
176,2019-03-13,24.6
177,2019-03-14,25.09
178,2019-03-15,24.76
179,2019-03-18,24.89
180,2019-03-19,25.9
181,2019-03-20,25.59
182,2019-03-21,25.37
183,2019-03-22,25.2
184,2019-03-25,23.82
185,2019-03-26,23.27
186,2019-03-27,24.1
187,2019-03-28,26.0
188,2019-03-29,36.5
189,2019-04-01,39.75
190,2019-04-02,34.36
191,2019-04-03,36.25
192,2019-04-04,36.6
193,2019-04-05,36.92
194,2019-04-08,36.68
195,2019-04-09,36.41
196,2019-04-10,34.58
197,2019-04-11,34.19
198,2019-04-12,33.0
199,2019-04-15,33.03
200,2019-04-16,32.88
201,2019-04-17,33.67
202,2019-04-18,31.55
203,2019-04-22,31.16
204,2019-04-23,31.33
205,2019-04-24,32.45
206,2019-04-25,32.65
207,2019-04-26,33.03
208,2019-04-29,33.96
209,2019-04-30,34.11
210,2019-05-01,34.12
211,2019-05-02,32.35
212,2019-05-03,32.41
213,2019-05-06,32.87
214,2019-05-07,34.1
215,2019-05-08,34.53
216,2019-05-09,34.09
217,2019-05-10,35.24
218,2019-05-13,34.55
219,2019-05-14,35.1
220,2019-05-15,35.27
221,2019-05-16,36.41
222,2019-05-17,35.86
223,2019-05-20,35.68
224,2019-05-21,36.31
225,2019-05-22,37.27
226,2019-05-23,37.39
227,2019-05-24,38.6
228,2019-05-28,37.5
229,2019-05-29,36.59
230,2019-05-30,36.77
231,2019-05-31,35.79
232,2019-06-03,36.74
233,2019-06-04,37.79
234,2019-06-05,36.48
235,2019-06-06,36.35
236,2019-06-07,35.55
237,2019-06-10,35.89
238,2019-06-11,34.0
239,2019-06-12,34.35
240,2019-06-13,35.32
241,2019-06-14,35.19
242,2019-06-17,34.48
243,2019-06-18,37.05
244,2019-06-19,37.29
245,2019-06-20,37.57
246,2019-06-21,34.58
247,2019-06-24,34.41
248,2019-06-25,35.73
249,2019-06-26,35.32
250,2019-06-27,36.27
251,2019-06-28,38.67
252,2019-07-01,39.9
253,2019-07-02,42.03
254,2019-07-03,38.95
255,2019-07-05,37.0
256,2019-07-08,35.56
257,2019-07-09,33.98
258,2019-07-10,34.48
259,2019-07-11,34.52
260,2019-07-12,32.95
261,2019-07-15,33.21
262,2019-07-16,33.07
263,2019-07-17,33.5
264,2019-07-18,33.66
265,2019-07-19,33.21
266,2019-07-22,33.48
267,2019-07-23,33.98
268,2019-07-24,32.52
269,2019-07-25,32.42
270,2019-07-26,31.75
