,date,open
0,2021-10-07,20.8
1,2021-10-08,19.25
2,2021-10-11,16.15
3,2021-10-12,16.0
4,2021-10-13,15.4
5,2021-10-14,15.8
6,2021-10-15,16.0
7,2021-10-18,16.1
8,2021-10-19,15.99
9,2021-10-20,16.09
10,2021-10-21,16.0
11,2021-10-22,16.0
12,2021-10-25,16.1
13,2021-10-26,16.0
14,2021-10-27,16.0
15,2021-10-28,16.0
16,2021-10-29,16.1
17,2021-11-01,17.3
18,2021-11-02,17.15
19,2021-11-03,17.28
20,2021-11-04,17.57
21,2021-11-05,19.68
22,2021-11-08,16.5
23,2021-11-09,16.25
24,2021-11-10,16.47
25,2021-11-11,16.65
26,2021-11-12,16.93
27,2021-11-15,17.01
28,2021-11-16,16.91
29,2021-11-17,17.13
30,2021-11-18,18.54
31,2021-11-19,19.25
32,2021-11-22,20.52
33,2021-11-23,17.61
34,2021-11-24,16.8
35,2021-11-26,18.17
36,2021-11-29,18.37
37,2021-11-30,14.64
38,2021-12-01,14.86
39,2021-12-02,15.1
40,2021-12-03,15.48
41,2021-12-06,16.01
42,2021-12-07,15.13
43,2021-12-08,15.06
44,2021-12-09,13.33
45,2021-12-10,13.3
46,2021-12-13,11.93
47,2021-12-14,11.49
48,2021-12-15,9.21
49,2021-12-16,12.66
50,2021-12-17,9.89
51,2021-12-20,9.08
52,2021-12-21,9.88
53,2021-12-22,9.49
54,2021-12-23,9.49
55,2021-12-27,11.02
56,2021-12-28,12.55
57,2021-12-29,10.71
58,2021-12-30,11.08
59,2021-12-31,12.27
60,2022-01-03,12.62
61,2022-01-04,11.728
62,2022-01-05,10.86
63,2022-01-06,10.09
64,2022-01-07,9.69
65,2022-01-10,9.67
66,2022-01-11,9.75
67,2022-01-12,10.45
68,2022-01-13,10.06
69,2022-01-14,9.9
70,2022-01-18,11.45
71,2022-01-19,10.27
72,2022-01-20,10.2
73,2022-01-21,9.71
74,2022-01-24,10.3
75,2022-01-25,9.73
76,2022-01-26,9.6
77,2022-01-27,8.9
78,2022-01-28,8.83
79,2022-01-31,9.02
80,2022-02-01,9.34
81,2022-02-02,10.19
82,2022-02-03,9.93
83,2022-02-04,9.93
84,2022-02-07,10.07
85,2022-02-08,10.82
86,2022-02-09,10.71
87,2022-02-10,10.3
88,2022-02-11,10.67
89,2022-02-14,10.51
90,2022-02-15,11.44
91,2022-02-16,12.1
92,2022-02-17,12.62
93,2022-02-18,11.26
94,2022-02-22,10.99
95,2022-02-23,10.67
96,2022-02-24,9.63
97,2022-02-25,10.26
98,2022-02-28,10.02
99,2022-03-01,10.09
100,2022-03-02,10.24
101,2022-03-03,9.78
102,2022-03-04,9.35
103,2022-03-07,9.75
104,2022-03-08,9.6
105,2022-03-09,9.82
106,2022-03-10,10.16
107,2022-03-11,10.04
108,2022-03-14,9.72
109,2022-03-15,9.77
110,2022-03-16,9.63
111,2022-03-17,10.12
112,2022-03-18,11.24
113,2022-03-21,14.69
114,2022-03-22,13.18
115,2022-03-23,14.0
116,2022-03-24,14.22
117,2022-03-25,14.29
118,2022-03-28,13.21
119,2022-03-29,12.23
120,2022-03-30,11.99
121,2022-03-31,11.4
122,2022-04-01,11.77
123,2022-04-04,12.69
124,2022-04-05,12.72
125,2022-04-06,14.07
126,2022-04-07,14.21
127,2022-04-08,13.84
128,2022-04-11,13.32
129,2022-04-12,14.15
130,2022-04-13,13.18
131,2022-04-14,13.04
132,2022-04-18,12.09
133,2022-04-19,11.2
134,2022-04-20,11.57
135,2022-04-21,11.03
136,2022-04-22,10.32
137,2022-04-25,10.37
