,date,open
0,2021-03-19,27.0
1,2021-03-22,26.44
2,2021-03-23,26.98
3,2021-03-24,25.92
4,2021-03-25,23.38
5,2021-03-26,24.2
6,2021-03-29,27.11
7,2021-03-30,26.03
8,2021-03-31,24.13
9,2021-04-01,25.46
10,2021-04-05,24.33
11,2021-04-06,24.41
12,2021-04-07,24.43
13,2021-04-08,22.44
14,2021-04-09,22.22
15,2021-04-12,22.03
16,2021-04-13,20.46
17,2021-04-14,20.84
18,2021-04-15,20.0
19,2021-04-16,18.59
20,2021-04-19,18.93
21,2021-04-20,18.51
22,2021-04-21,18.98
23,2021-04-22,17.46
24,2021-04-23,16.91
25,2021-04-26,17.0
26,2021-04-27,17.32
27,2021-04-28,17.26
28,2021-04-29,18.38
29,2021-04-30,19.45
30,2021-05-03,20.86
31,2021-05-04,20.99
32,2021-05-05,20.99
33,2021-05-06,20.32
34,2021-05-07,18.23
35,2021-05-10,18.79
36,2021-05-11,17.5
37,2021-05-12,16.21
38,2021-05-13,15.53
39,2021-05-14,16.57
40,2021-05-17,17.84
41,2021-05-18,19.62
42,2021-05-19,20.0
43,2021-05-20,18.4596
44,2021-05-21,18.62
45,2021-05-24,18.58
46,2021-05-25,17.95
47,2021-05-26,16.96
48,2021-05-27,17.2
49,2021-05-28,17.61
50,2021-06-01,17.91
51,2021-06-02,17.38
52,2021-06-03,16.14
53,2021-06-04,15.86
54,2021-06-07,15.5
55,2021-06-08,16.0
56,2021-06-09,15.34
57,2021-06-10,15.45
58,2021-06-11,16.76
59,2021-06-14,17.01
60,2021-06-15,16.54
61,2021-06-16,17.81
62,2021-06-17,17.48
63,2021-06-18,17.86
64,2021-06-21,18.46
65,2021-06-22,18.7
66,2021-06-23,18.19
67,2021-06-24,18.07
68,2021-06-25,19.5
69,2021-06-28,20.185
70,2021-06-29,19.33
71,2021-06-30,18.3
72,2021-07-01,19.39
73,2021-07-02,20.11
74,2021-07-06,20.08
75,2021-07-07,19.93
76,2021-07-08,19.84
77,2021-07-09,19.59
78,2021-07-12,20.01
79,2021-07-13,19.82
80,2021-07-14,19.58
81,2021-07-15,18.71
82,2021-07-16,19.03
83,2021-07-19,18.7
84,2021-07-20,18.69
85,2021-07-21,19.45
86,2021-07-22,19.45
87,2021-07-23,19.54
88,2021-07-26,19.38
89,2021-07-27,18.12
90,2021-07-28,16.38
91,2021-07-29,17.0
92,2021-07-30,16.34
93,2021-08-02,15.21
94,2021-08-03,15.54
95,2021-08-04,16.07
96,2021-08-05,15.95
97,2021-08-06,16.32
98,2021-08-09,17.05
99,2021-08-10,16.93
100,2021-08-11,16.59
101,2021-08-12,16.51
102,2021-08-13,17.2
103,2021-08-16,16.61
104,2021-08-17,16.1
105,2021-08-18,16.1
106,2021-08-19,16.01
107,2021-08-20,15.85
108,2021-08-23,16.71
109,2021-08-24,17.29
110,2021-08-25,17.81
111,2021-08-26,18.89
112,2021-08-27,19.65
113,2021-08-30,19.83
114,2021-08-31,18.71
115,2021-09-01,19.1
116,2021-09-02,19.43
117,2021-09-03,20.51
118,2021-09-07,21.41
119,2021-09-08,20.71
120,2021-09-09,19.61
121,2021-09-10,19.87
122,2021-09-13,18.61
123,2021-09-14,18.0
124,2021-09-15,16.58
125,2021-09-16,18.0
126,2021-09-17,18.66
127,2021-09-20,19.08
128,2021-09-21,20.58
129,2021-09-22,21.0
130,2021-09-23,21.67
131,2021-09-24,21.75
132,2021-09-27,23.09
133,2021-09-28,23.49
134,2021-09-29,23.4
135,2021-09-30,20.42
136,2021-10-01,18.01
137,2021-10-04,18.89
138,2021-10-05,18.41
139,2021-10-06,17.67
140,2021-10-07,17.85
141,2021-10-08,18.19
142,2021-10-11,17.75
143,2021-10-12,17.76
144,2021-10-13,18.18
145,2021-10-14,18.44
146,2021-10-15,18.55
147,2021-10-18,17.81
148,2021-10-19,18.03
149,2021-10-20,18.15
150,2021-10-21,18.1
151,2021-10-22,18.06
152,2021-10-25,18.24
153,2021-10-26,18.3
154,2021-10-27,19.2
155,2021-10-28,19.17
156,2021-10-29,19.97
157,2021-11-01,20.61
158,2021-11-02,21.55
159,2021-11-03,21.65
160,2021-11-04,21.66
161,2021-11-05,21.83
162,2021-11-08,21.84
163,2021-11-09,22.63
164,2021-11-10,21.46
165,2021-11-11,21.14
166,2021-11-12,22.51
167,2021-11-15,21.15
168,2021-11-16,20.69
169,2021-11-17,21.97
170,2021-11-18,21.42
171,2021-11-19,22.15
172,2021-11-22,22.23
173,2021-11-23,19.16
174,2021-11-24,17.32
175,2021-11-26,19.25
176,2021-11-29,20.78
177,2021-11-30,20.91
178,2021-12-01,22.45
179,2021-12-02,21.77
180,2021-12-03,21.82
181,2021-12-06,20.07
182,2021-12-07,20.12
183,2021-12-08,22.36
184,2021-12-09,22.02
185,2021-12-10,21.32
186,2021-12-13,19.75
187,2021-12-14,18.87
188,2021-12-15,17.6
189,2021-12-16,18.59
190,2021-12-17,16.56
191,2021-12-20,15.67
192,2021-12-21,15.83
193,2021-12-22,15.39
194,2021-12-23,15.43
195,2021-12-27,16.68
196,2021-12-28,16.22
197,2021-12-29,16.51
198,2021-12-30,16.48
199,2021-12-31,16.82
200,2022-01-03,17.26
201,2022-01-04,18.28
202,2022-01-05,17.08
203,2022-01-06,15.95
204,2022-01-07,15.12
205,2022-01-10,14.25
206,2022-01-11,14.0
207,2022-01-12,14.56
208,2022-01-13,13.73
209,2022-01-14,13.26
210,2022-01-18,13.37
211,2022-01-19,12.75
212,2022-01-20,12.86
213,2022-01-21,12.48
214,2022-01-24,12.31
215,2022-01-25,13.04
216,2022-01-26,12.28
217,2022-01-27,11.39
218,2022-01-28,10.94
219,2022-01-31,11.13
220,2022-02-01,11.66
221,2022-02-02,12.05
222,2022-02-03,11.33
223,2022-02-04,11.38
224,2022-02-07,11.49
225,2022-02-08,12.5996
226,2022-02-09,11.44
227,2022-02-10,11.21
228,2022-02-11,11.6
229,2022-02-14,11.85
230,2022-02-15,12.16
231,2022-02-16,12.37
232,2022-02-17,12.55
233,2022-02-18,11.68
234,2022-02-22,10.45
235,2022-02-23,10.28
236,2022-02-24,9.04
237,2022-02-25,10.45
238,2022-02-28,10.62
239,2022-03-01,10.58
240,2022-03-02,10.21
241,2022-03-03,10.39
242,2022-03-04,9.47
243,2022-03-07,8.58
244,2022-03-08,8.48
245,2022-03-09,9.02
246,2022-03-10,9.23
247,2022-03-11,10.05
248,2022-03-14,9.68
249,2022-03-15,9.51
250,2022-03-16,10.01
251,2022-03-17,10.66
252,2022-03-18,10.44
253,2022-03-21,11.11
254,2022-03-22,10.64
255,2022-03-23,10.69
256,2022-03-24,10.98
257,2022-03-25,11.53
258,2022-03-28,10.97
259,2022-03-29,11.27
260,2022-03-30,11.89
261,2022-03-31,11.58
262,2022-04-01,10.87
263,2022-04-04,11.31
264,2022-04-05,10.93
265,2022-04-06,10.49
266,2022-04-07,10.54
267,2022-04-08,9.89
268,2022-04-11,9.29
269,2022-04-12,9.31
270,2022-04-13,9.38
271,2022-04-14,9.89
272,2022-04-18,9.13
273,2022-04-19,8.86
274,2022-04-20,9.0
275,2022-04-21,9.08
276,2022-04-22,8.36
277,2022-04-25,8.31
278,2022-04-26,8.27
279,2022-04-27,8.03
280,2022-04-28,8.27
281,2022-04-29,7.64
282,2022-05-02,7.0
283,2022-05-03,7.5
284,2022-05-04,7.32
285,2022-05-05,7.33
286,2022-05-06,6.8
287,2022-05-09,6.39
288,2022-05-10,6.46
289,2022-05-11,6.21
290,2022-05-12,5.78
291,2022-05-13,6.44
292,2022-05-16,6.27
293,2022-05-17,7.0
294,2022-05-18,7.24
295,2022-05-19,7.03
296,2022-05-20,7.25
297,2022-05-23,7.32
298,2022-05-24,7.65
299,2022-05-25,8.18
300,2022-05-26,8.52
301,2022-05-27,7.85
302,2022-05-31,6.0
303,2022-06-01,6.0
304,2022-06-02,5.85
305,2022-06-03,5.88
306,2022-06-06,6.02
307,2022-06-07,5.86
308,2022-06-08,6.18
309,2022-06-09,6.1
310,2022-06-10,5.6
311,2022-06-13,5.25
312,2022-06-14,4.92
313,2022-06-15,4.91
314,2022-06-16,4.83
315,2022-06-17,4.29
316,2022-06-21,4.87
317,2022-06-22,4.63
318,2022-06-23,4.88
319,2022-06-24,5.2
320,2022-06-27,5.16
321,2022-06-28,4.99
322,2022-06-29,4.76
323,2022-06-30,4.6
324,2022-07-01,4.73
325,2022-07-05,4.63
326,2022-07-06,5.06
327,2022-07-07,5.5
328,2022-07-08,5.86
329,2022-07-11,5.83
330,2022-07-12,5.53
331,2022-07-13,5.36
332,2022-07-14,5.93
333,2022-07-15,5.99
334,2022-07-18,5.89
335,2022-07-19,5.66
336,2022-07-20,6.1
337,2022-07-21,6.59
338,2022-07-22,6.49
339,2022-07-25,6.07
340,2022-07-26,6.21
341,2022-07-27,5.91
342,2022-07-28,6.09
343,2022-07-29,5.85
344,2022-08-01,5.56
345,2022-08-02,5.11
346,2022-08-03,5.58
347,2022-08-04,5.91
348,2022-08-05,5.91
349,2022-08-08,6.47
350,2022-08-09,6.44
351,2022-08-10,6.68
352,2022-08-11,6.75
353,2022-08-12,6.87
354,2022-08-15,7.06
355,2022-08-16,7.25
356,2022-08-17,7.09
357,2022-08-18,6.8
358,2022-08-19,6.15
359,2022-08-22,5.57
360,2022-08-23,5.23
361,2022-08-24,5.36
362,2022-08-25,5.71
363,2022-08-26,5.65
364,2022-08-29,4.97
365,2022-08-30,5.23
366,2022-08-31,5.04
367,2022-09-01,5.13
368,2022-09-02,5.41
369,5035,
370,2022-08-09,6.44
371,2022-08-10,6.68
372,2022-08-11,6.75
373,2022-08-12,6.87
374,2022-08-15,7.06
375,2022-08-16,7.25
376,2022-08-17,7.09
377,2022-08-18,6.8
378,2022-08-19,6.15
379,2022-08-22,5.57
380,2022-08-23,5.23
381,2022-08-24,5.36
382,2022-08-25,5.71
