,date,open
0,2021-11-05,26.13
1,2021-11-08,32.0
2,2021-11-09,40.1
3,2021-11-10,41.0
4,2021-11-11,40.43
5,2021-11-12,38.53
6,2021-11-15,38.02
7,2021-11-16,36.12
8,2021-11-17,37.2
9,2021-11-18,35.42
10,2021-11-19,35.33
11,2021-11-22,36.14
12,2021-11-23,33.0
13,2021-11-24,32.0
14,2021-11-26,29.5
15,2021-11-29,28.74
16,2021-11-30,26.15
17,2021-12-01,26.17
18,2021-12-02,26.25
19,2021-12-03,28.27
20,2021-12-06,27.11
21,2021-12-07,26.41
22,2021-12-08,29.95
23,2021-12-09,33.39
24,2021-12-10,31.2
25,2021-12-13,29.12
26,2021-12-14,30.17
27,2021-12-15,28.41
28,2021-12-16,28.83
29,2021-12-17,29.31
30,2021-12-20,31.61
31,2021-12-21,32.03
32,2021-12-22,29.87
33,2021-12-23,31.4
34,2021-12-27,30.67
35,2021-12-28,30.76
36,2021-12-29,27.6
37,2021-12-30,26.71
38,2021-12-31,25.85
39,2022-01-03,25.59
40,2022-01-04,26.8
41,2022-01-05,24.85
42,2022-01-06,24.06
43,2022-01-07,25.0
44,2022-01-10,23.9
45,2022-01-11,23.02
46,2022-01-12,22.67
47,2022-01-13,22.27
48,2022-01-14,20.57
49,2022-01-18,21.83
50,2022-01-19,20.26
51,2022-01-20,20.61
52,2022-01-21,19.91
53,2022-01-24,19.08
54,2022-01-25,20.45
55,2022-01-26,19.94
56,2022-01-27,18.01
57,2022-01-28,17.17
58,2022-01-31,15.65
59,2022-02-01,18.1
60,2022-02-02,17.47
61,2022-02-03,15.56
62,2022-02-04,15.97
63,2022-02-07,15.56
64,2022-02-08,15.98
65,2022-02-09,15.6
66,2022-02-10,16.69
67,2022-02-11,15.38
68,2022-02-14,14.73
69,2022-02-15,14.2
70,2022-02-16,15.1
71,2022-02-17,15.06
72,2022-02-18,14.2
73,2022-02-22,14.46
74,2022-02-23,14.43
75,2022-02-24,13.12
76,2022-02-25,14.85
77,2022-02-28,14.5
78,2022-03-01,14.77
79,2022-03-02,13.42
80,2022-03-03,13.38
81,2022-03-04,12.6
82,2022-03-07,12.13
83,2022-03-08,12.11
84,2022-03-09,12.19
85,2022-03-10,12.37
86,2022-03-11,12.53
87,2022-03-14,11.92
88,2022-03-15,11.61
89,2022-03-16,12.53
90,2022-03-17,14.09
91,2022-03-18,14.52
92,2022-03-21,16.06
93,2022-03-22,16.31
94,2022-03-23,16.96
95,2022-03-24,17.04
96,2022-03-25,18.16
97,2022-03-28,17.61
98,2022-03-29,18.39
99,2022-03-30,17.8
100,2022-03-31,17.36
101,2022-04-01,17.26
102,2022-04-04,18.35
103,2022-04-05,18.65
104,2022-04-06,17.82
105,2022-04-07,17.76
106,2022-04-08,17.36
107,2022-04-11,16.38
108,2022-04-12,16.28
109,2022-04-13,16.02
110,2022-04-14,16.73
111,2022-04-18,16.93
112,2022-04-19,15.57
113,2022-04-20,16.06
114,2022-04-21,16.21
115,2022-04-22,15.37
116,2022-04-25,14.85
117,2022-04-26,15.25
118,2022-04-27,13.73
119,2022-04-28,14.15
120,2022-04-29,13.91
121,2022-05-02,14.02
122,2022-05-03,14.56
123,2022-05-04,14.42
124,2022-05-05,15.07
125,2022-05-06,13.59
126,2022-05-09,12.76
127,2022-05-10,12.62
128,2022-05-11,12.48
129,2022-05-12,10.68
130,2022-05-13,11.34
131,2022-05-16,11.83
132,2022-05-17,12.36
133,2022-05-18,12.25
134,2022-05-19,11.34
135,2022-05-20,11.88
136,2022-05-23,12.55
137,2022-05-24,12.1
138,2022-05-25,12.0
139,2022-05-26,11.5
140,2022-05-27,11.78
141,2022-05-31,12.14
142,2022-06-01,12.44
143,2022-06-02,11.76
144,2022-06-03,11.22
145,2022-06-06,12.02
146,2022-06-07,11.46
147,2022-06-08,13.09
148,2022-06-09,13.35
149,2022-06-10,12.82
150,2022-06-13,11.15
151,2022-06-14,11.28
152,2022-06-15,10.81
153,2022-06-16,10.45
154,2022-06-17,10.65
155,2022-06-21,12.46
156,2022-06-22,12.26
157,2022-06-23,13.23
158,2022-06-24,14.36
159,2022-06-27,13.62
160,2022-06-28,13.57
161,2022-06-29,13.27
162,2022-06-30,12.78
163,2022-07-01,12.96
164,2022-07-05,13.06
165,2022-07-06,13.96
166,2022-07-07,14.12
167,2022-07-08,14.47
168,2022-07-11,14.71
169,2022-07-12,12.88
170,2022-07-13,13.32
171,2022-07-14,14.42
172,2022-07-15,14.28
173,2022-07-18,14.27
174,2022-07-19,12.67
175,2022-07-20,13.34
176,2022-07-21,13.37
177,2022-07-22,13.34
178,2022-07-25,13.34
179,2022-07-26,13.25
180,2022-07-27,13.61
181,2022-07-28,14.71
182,2022-07-29,14.43
183,2022-08-01,14.25
184,2022-08-02,14.15
185,2022-08-03,15.16
186,2022-08-04,15.48
187,2022-08-05,15.62
188,2022-08-08,16.84
189,2022-08-09,17.0
190,2022-08-10,17.75
191,2022-08-11,17.36
192,2022-08-12,16.84
193,2022-08-15,16.27
194,2022-08-16,16.5
195,2022-08-17,15.75
196,2022-08-18,15.66
197,2022-08-19,14.92
198,2022-08-22,14.54
199,2022-08-23,15.44
200,2022-08-24,15.77
201,2022-08-25,17.24
202,2022-08-26,17.69
203,2022-08-29,15.07
204,2022-08-30,15.1
205,2022-08-31,14.77
206,2022-09-01,14.71
207,2022-09-02,15.72
208,.8800,17.03
209,2022-08-11,17.36
210,2022-08-12,16.84
211,2022-08-15,16.27
212,2022-08-16,16.5
213,2022-08-17,15.75
214,2022-08-18,15.66
215,2022-08-19,14.92
216,2022-08-22,14.54
217,2022-08-23,15.44
218,2022-08-24,15.77
219,2022-08-25,17.24
220,2022-08-26,17.69
221,2022-08-29,15.07
222,2022-08-30,15.1
223,2022-08-31,14.77
224,2022-09-01,14.71
225,2022-09-02,15.72
