,date,open
0,2021-09-15,29.9
1,2021-09-16,25.83
2,2021-09-17,21.02
3,2021-09-20,18.96
4,2021-09-21,18.27
5,2021-09-22,19.62
6,2021-09-23,18.28
7,2021-09-24,17.96
8,2021-09-27,18.09
9,2021-09-28,17.83
10,2021-09-29,17.57
11,2021-09-30,16.71
12,2021-10-01,17.59
13,2021-10-04,17.01
14,2021-10-05,14.7
15,2021-10-06,13.46
16,2021-10-07,13.5
17,2021-10-08,15.13
18,2021-10-11,15.95
19,2021-10-12,15.41
20,2021-10-13,15.54
21,2021-10-14,16.23
22,2021-10-15,16.35
23,2021-10-18,16.23
24,2021-10-19,18.07
25,2021-10-20,18.99
26,2021-10-21,20.45
27,2021-10-22,21.8
28,2021-10-25,23.0
29,2021-10-26,20.19
30,2021-10-27,21.1
31,2021-10-28,22.27
32,2021-10-29,23.36
33,2021-11-01,21.93
34,2021-11-02,23.0
35,2021-11-03,23.9
36,2021-11-04,28.96
37,2021-11-05,30.91
38,2021-11-08,28.95
39,2021-11-09,28.62
40,2021-11-10,28.33
41,2021-11-11,27.9
42,2021-11-12,28.0095
43,2021-11-15,27.79
44,2021-11-16,28.01
45,2021-11-17,27.31
46,2021-11-18,26.6
47,2021-11-19,22.94
48,2021-11-22,23.58
49,2021-11-23,22.52
50,2021-11-24,18.93
51,2021-11-26,19.92
52,2021-11-29,24.14
53,2021-11-30,24.98
54,2021-12-01,24.89
55,2021-12-02,20.05
56,2021-12-03,18.83
57,2021-12-06,17.96
58,2021-12-07,18.07
59,2021-12-08,19.76
60,2021-12-09,17.44
61,2021-12-10,18.05
62,2021-12-13,17.89
63,2021-12-14,16.22
64,2021-12-15,14.67
65,2021-12-16,15.23
66,2021-12-17,12.98
67,2021-12-20,12.1
68,2021-12-21,12.24
69,2021-12-22,13.954
70,2021-12-23,14.36
71,2021-12-27,15.0
72,2021-12-28,14.55
73,2021-12-29,13.6
74,2021-12-30,13.81
75,2021-12-31,13.89
76,2022-01-03,14.18
77,2022-01-04,14.09
78,2022-01-05,12.48
79,2022-01-06,11.675
80,2022-01-07,12.26
81,2022-01-10,12.24
82,2022-01-11,12.11
83,2022-01-12,12.37
84,2022-01-13,11.83
85,2022-01-14,11.96
86,2022-01-18,12.13
87,2022-01-19,11.47
88,2022-01-20,11.95
89,2022-01-21,11.97
90,2022-01-24,11.29
91,2022-01-25,11.14
92,2022-01-26,11.97
93,2022-01-27,11.49
94,2022-01-28,11.28
95,2022-01-31,12.02
96,2022-02-01,13.18
97,2022-02-02,13.56
98,2022-02-03,12.52
99,2022-02-04,11.99
100,2022-02-07,13.29
101,2022-02-08,13.14
