,date,open
0,1999-06-17,6.75
1,1999-06-18,6.095
2,1999-06-21,6.19
3,1999-06-22,6.065
4,1999-06-23,6.125
5,1999-06-24,6.0
6,1999-06-25,6.0
7,1999-06-28,6.0
8,1999-06-29,5.94
9,1999-06-30,5.815
10,1999-07-01,6.125
11,1999-07-02,6.25
12,1999-07-06,6.345
13,1999-07-07,6.44
14,1999-07-08,6.25
15,1999-07-09,6.25
16,1999-07-12,6.25
17,1999-07-13,6.69
18,1999-07-14,7.75
19,1999-07-15,8.0
20,1999-07-16,8.315
21,1999-07-19,8.565
22,1999-07-20,8.565
23,1999-07-21,8.375
24,1999-07-22,8.44
25,1999-07-23,8.625
26,1999-07-26,8.61
27,1999-07-27,8.565
28,1999-07-28,8.69
29,1999-07-29,9.0
30,1999-07-30,9.0
31,1999-08-02,9.25
32,1999-08-03,10.5
33,1999-08-04,10.405
34,1999-08-05,10.065
35,1999-08-06,9.655
36,1999-08-09,9.905
37,1999-08-10,10.22
38,1999-08-11,10.75
39,1999-08-12,11.595
40,1999-08-13,11.5
41,1999-08-16,11.75
42,1999-08-17,11.625
43,1999-08-18,12.095
44,1999-08-19,11.25
45,1999-08-20,10.565
46,1999-08-23,10.44
47,1999-08-24,9.94
48,1999-08-25,10.75
49,1999-08-26,11.47
50,1999-08-27,13.28
51,1999-08-30,13.5
52,1999-08-31,13.25
53,1999-09-01,13.565
54,1999-09-02,13.875
55,1999-09-03,14.065
56,1999-09-07,13.625
57,1999-09-08,14.065
58,1999-09-09,14.0
59,1999-09-10,14.095
60,1999-09-13,14.75
61,1999-09-14,15.125
62,1999-09-15,14.69
63,1999-09-16,14.625
64,1999-09-17,14.705
65,1999-09-20,15.0
66,1999-09-21,14.875
67,1999-09-22,14.845
68,1999-09-23,15.0
69,1999-09-24,14.565
70,1999-09-27,14.625
71,1999-09-28,13.39
72,1999-09-29,13.815
73,1999-09-30,13.815
74,1999-10-01,14.44
75,1999-10-04,14.44
76,1999-10-05,14.815
77,1999-10-06,14.75
78,1999-10-07,15.0
79,1999-10-08,14.125
80,1999-10-11,14.25
81,1999-10-12,14.5
82,1999-10-13,14.25
83,1999-10-14,14.5
84,1999-10-15,14.595
85,1999-10-18,14.33
86,1999-10-19,14.315
87,1999-10-20,14.5
88,1999-10-21,14.44
89,1999-10-22,14.5
90,1999-10-25,14.44
91,1999-10-26,14.5
92,1999-10-27,14.5
93,1999-10-28,14.5
94,1999-10-29,14.875
95,1999-11-01,15.065
96,1999-11-02,16.78
97,1999-11-03,16.875
98,1999-11-04,16.875
99,1999-11-05,17.065
100,1999-11-08,18.0
101,1999-11-09,20.065
102,1999-11-10,20.25
103,1999-11-11,20.125
104,1999-11-12,20.625
105,1999-11-15,19.25
106,1999-11-16,19.44
107,1999-11-17,18.69
108,1999-11-18,18.5
109,1999-11-19,18.47
110,1999-11-22,18.47
111,1999-11-23,18.47
112,1999-11-24,18.375
113,1999-11-26,18.155
114,1999-11-29,18.155
115,1999-11-30,18.315
116,1999-12-01,17.875
117,1999-12-02,18.375
118,1999-12-03,18.065
119,1999-12-06,18.065
120,1999-12-07,18.0
121,1999-12-08,18.5
122,1999-12-09,18.25
123,1999-12-10,18.065
124,1999-12-13,18.19
125,1999-12-14,16.565
126,1999-12-15,16.565
127,1999-12-16,17.375
128,1999-12-17,17.19
129,1999-12-20,17.57
130,1999-12-21,17.69
131,1999-12-22,17.815
132,1999-12-23,18.375
133,1999-12-27,18.155
134,1999-12-28,18.875
135,1999-12-29,20.0
136,1999-12-30,20.625
137,1999-12-31,23.0
138,2000-01-03,26.565
139,2000-01-04,26.875
140,2000-01-05,27.19
141,2000-01-06,25.5
142,2000-01-07,28.5
143,2000-01-10,28.94
144,2000-01-11,30.0
145,2000-01-12,33.0
146,2000-01-13,34.405
147,2000-01-14,35.625
148,2000-01-18,35.78
149,2000-01-19,38.25
150,2000-01-20,38.03
151,2000-01-21,39.03
152,2000-01-24,39.25
153,2000-01-25,38.19
154,2000-01-26,37.25
155,2000-01-27,33.0
156,2000-01-28,31.5
157,2000-01-31,31.375
158,2000-02-01,31.0
159,2000-02-02,31.25
160,2000-02-03,31.69
161,2000-02-04,31.69
162,2000-02-07,33.125
163,2000-02-08,32.875
164,2000-02-09,40.5
165,2000-02-10,38.125
166,2000-02-11,39.0
167,2000-02-14,39.5
168,2000-02-15,39.625
169,2000-02-16,42.25
170,2000-02-17,43.5
171,2000-02-18,46.5
172,2000-02-22,47.065
173,2000-02-23,46.875
174,2000-02-24,48.25
175,2000-02-25,47.815
176,2000-02-28,50.65
177,2000-02-29,50.8
178,2000-03-01,50.0
179,2000-03-02,50.25
180,2000-03-03,49.315
181,2000-03-06,45.03
182,2000-03-07,45.5
183,2000-03-08,46.0
184,2000-03-09,45.75
185,2000-03-10,45.5
186,2000-03-13,46.75
187,2000-03-14,43.815
188,2000-03-15,39.25
189,2000-03-16,37.315
190,2000-03-17,34.0
191,2000-03-20,34.5
192,2000-03-21,29.315
193,2000-03-22,35.0
194,2000-03-23,36.0
195,2000-03-24,36.0
196,2000-03-27,46.065
197,2000-03-28,41.0
198,2000-03-29,41.5
199,2000-03-30,40.75
200,2000-03-31,36.875
201,2000-04-03,38.39
202,2000-04-04,38.25
203,2000-04-05,34.5
204,2000-04-06,35.5
205,2000-04-07,34.75
206,2000-04-10,34.75
207,2000-04-11,30.5
208,2000-04-12,29.75
209,2000-04-13,27.0
210,2000-04-14,25.0
211,2000-04-17,20.5
212,2000-04-18,20.565
213,2000-04-19,23.19
214,2000-04-20,24.315
215,2000-04-24,23.5
216,2000-04-25,22.065
217,2000-04-26,22.94
218,2000-04-27,24.5
219,2000-04-28,26.0
220,2000-05-01,28.28
221,2000-05-02,33.5
222,2000-05-03,33.5
223,2000-05-04,32.25
224,2000-05-05,34.25
225,2000-05-08,32.75
226,2000-05-09,34.815
227,2000-05-10,32.815
228,2000-05-11,33.44
229,2000-05-12,32.565
230,2000-05-15,31.0
231,2000-05-16,31.125
232,2000-05-17,30.78
233,2000-05-18,31.0
234,2000-05-19,30.5
235,2000-05-22,31.75
236,2000-05-23,30.5
237,2000-05-24,30.065
238,2000-05-25,31.815
239,2000-05-26,32.0
240,2000-05-30,31.25
241,2000-05-31,32.065
242,2000-06-01,32.125
243,2000-06-02,32.75
244,2000-06-05,32.47
245,2000-06-06,34.5
246,2000-06-07,36.0
247,2000-06-08,39.875
248,2000-06-09,38.5
249,2000-06-12,39.5
250,2000-06-13,42.5
251,2000-06-14,43.0
252,2000-06-15,43.75
253,2000-06-16,43.0
254,2000-06-19,44.0
255,2000-06-20,44.065
256,2000-06-21,40.5
257,2000-06-22,42.625
258,2000-06-23,42.0
259,2000-06-26,42.0
260,2000-06-27,46.0
261,2000-06-28,47.315
262,2000-06-29,48.875
263,2000-06-30,57.5
264,2000-07-03,54.15
265,2000-07-05,45.25
266,2000-07-06,51.15
267,2000-07-07,58.25
268,2000-07-10,55.5
269,2000-07-11,57.25
270,2000-07-12,60.65
271,2000-07-13,64.4
272,2000-07-14,58.15
273,2000-07-17,56.25
274,2000-07-18,59.05
275,2000-07-19,59.75
276,2000-07-20,56.4
277,2000-07-21,57.75
278,2000-07-24,57.25
279,2000-07-25,54.5
280,2000-07-26,53.0
281,2000-07-27,54.75
282,2000-07-28,51.25
283,2000-07-31,49.69
284,2000-08-01,49.0
285,2000-08-02,52.0
286,2000-08-03,51.0
287,2000-08-04,51.2
288,2000-08-07,52.4
289,2000-08-08,55.5
290,2000-08-09,50.9
291,2000-08-10,48.375
292,2000-08-11,47.0
293,2000-08-14,46.065
294,2000-08-15,45.75
295,2000-08-16,45.19
296,2000-08-17,45.5
297,2000-08-18,47.75
298,2000-08-21,46.5
299,2000-08-22,46.97
300,2000-08-23,46.69
301,2000-08-24,47.5
302,2000-08-25,46.69
303,2000-08-28,45.94
304,2000-08-29,43.315
305,2000-08-30,41.19
306,2000-08-31,41.03
307,2000-09-01,42.78
308,2000-09-05,42.5
309,2000-09-06,38.53
310,2000-09-07,38.5
311,2000-09-08,38.94
312,2000-09-11,40.5
313,2000-09-12,41.0
314,2000-09-13,42.0
315,2000-09-14,41.94
316,2000-09-15,39.565
317,2000-09-18,41.5
318,2000-09-19,38.22
319,2000-09-20,38.315
320,2000-09-21,37.725
321,2000-09-22,36.345
322,2000-09-25,37.72
323,2000-09-26,38.44
324,2000-09-27,38.22
325,2000-09-28,39.655
326,2000-09-29,42.5
327,2000-10-02,44.315
328,2000-10-03,40.94
329,2000-10-04,39.53
330,2000-10-05,38.565
331,2000-10-06,36.25
332,2000-10-09,32.53
333,2000-10-10,33.365
334,2000-10-11,31.125
335,2000-10-12,30.625
336,2000-10-13,30.0
337,2000-10-16,34.5
338,2000-10-17,36.125
339,2000-10-18,31.44
340,2000-10-19,30.0
341,2000-10-20,30.44
342,2000-10-23,29.815
343,2000-10-24,29.565
344,2000-10-25,25.28
345,2000-10-26,25.25
346,2000-10-27,25.345
347,2000-10-30,24.32
348,2000-10-31,24.915
349,2000-11-01,26.78
350,2000-11-02,30.46
351,2000-11-03,32.5
352,2000-11-06,35.25
353,2000-11-07,35.655
354,2000-11-08,35.565
355,2000-11-09,34.885
356,2000-11-10,31.565
357,2000-11-13,31.0
358,2000-11-14,30.0
359,2000-11-15,30.845
360,2000-11-16,28.595
361,2000-11-17,27.25
362,2000-11-20,25.315
363,2000-11-21,22.75
364,2000-11-22,22.75
365,2000-11-24,23.565
366,2000-11-27,25.985
367,2000-11-28,26.0
368,2000-11-29,23.845
369,2000-11-30,22.19
370,2000-12-01,22.78
371,2000-12-04,11.97
372,2000-12-05,9.015
373,2000-12-06,8.67
374,2000-12-07,7.905
375,2000-12-08,7.75
376,2000-12-11,7.83
377,2000-12-12,8.405
378,2000-12-13,8.295
379,2000-12-14,8.1
380,2000-12-15,7.765
381,2000-12-18,7.97
382,2000-12-19,7.44
383,2000-12-20,6.74
384,2000-12-21,7.125
385,2000-12-22,6.875
386,2000-12-26,7.03
387,2000-12-27,6.955
388,2000-12-28,6.515
389,2000-12-29,7.125
390,2001-01-02,7.67
391,2001-01-03,6.94
392,2001-01-04,6.94
393,2001-01-05,6.345
394,2001-01-08,6.315
395,2001-01-09,5.75
396,2001-01-10,5.75
397,2001-01-11,5.75
398,2001-01-12,6.08
399,2001-01-16,6.445
400,2001-01-17,8.125
401,2001-01-18,7.49
402,2001-01-19,7.565
403,2001-01-22,7.49
404,2001-01-23,7.83
405,2001-01-24,7.815
406,2001-01-25,8.565
407,2001-01-26,7.97
408,2001-01-29,7.655
409,2001-01-30,7.695
410,2001-01-31,7.78
411,2001-02-01,8.29
412,2001-02-02,8.045
413,2001-02-05,7.625
414,2001-02-06,7.315
415,2001-02-07,7.315
416,2001-02-08,7.25
417,2001-02-09,7.065
418,2001-02-12,7.0
419,2001-02-13,7.25
420,2001-02-14,6.89
421,2001-02-15,7.03
422,2001-02-16,7.085
423,2001-02-20,6.875
424,2001-02-21,7.03
425,2001-02-22,6.69
426,2001-02-23,6.155
427,2001-02-26,6.065
428,2001-02-27,6.025
429,2001-02-28,5.565
430,2001-03-01,6.065
431,2001-03-02,6.47
432,2001-03-05,6.51
433,2001-03-06,6.555
434,2001-03-07,6.47
435,2001-03-08,6.93
436,2001-03-09,7.305
437,2001-03-12,7.5
438,2001-03-13,7.155
439,2001-03-14,7.625
440,2001-03-15,7.875
441,2001-03-16,8.235
442,2001-03-19,8.25
443,2001-03-20,9.065
444,2001-03-21,7.815
445,2001-03-22,7.82
446,2001-03-23,8.03
447,2001-03-26,8.0
448,2001-03-27,8.18
449,2001-03-28,7.815
450,2001-03-29,7.78
451,2001-03-30,8.0
452,2001-04-02,8.69
453,2001-04-03,7.75
454,2001-04-04,7.125
455,2001-04-05,7.375
456,2001-04-06,7.875
457,2001-04-09,7.515
458,2001-04-10,7.725
459,2001-04-11,7.5
460,2001-04-12,7.45
461,2001-04-16,5.35
462,2001-04-17,5.615
463,2001-04-18,5.625
464,2001-04-19,5.605
465,2001-04-20,5.79
466,2001-04-23,5.625
467,2001-04-24,5.585
468,2001-04-25,5.44
469,2001-04-26,5.565
470,2001-04-27,5.6
471,2001-04-30,5.75
472,2001-05-01,5.995
473,2001-05-02,6.025
474,2001-05-03,5.75
475,2001-05-04,5.525
476,2001-05-07,5.475
477,2001-05-08,5.5
478,2001-05-09,5.4
479,2001-05-10,5.5
480,2001-05-11,5.6
481,2001-05-14,5.73
482,2001-05-15,5.63
483,2001-05-16,5.735
484,2001-05-17,6.4
485,2001-05-18,6.89
486,2001-05-21,6.905
487,2001-05-22,7.03
488,2001-05-23,6.815
