,date,open
0,2021-05-06,27.07
1,2021-05-07,30.47
2,2021-05-10,29.85
3,2021-05-11,27.99
4,2021-05-12,28.37
5,2021-05-13,28.63
6,2021-05-14,28.2
7,2021-05-17,30.12
8,2021-05-18,30.91
9,2021-05-19,29.84
10,2021-05-20,29.1829
11,2021-05-21,28.5
12,2021-05-24,26.68
13,2021-05-25,26.0
14,2021-05-26,25.87
15,2021-05-27,24.8693
16,2021-05-28,25.0
17,2021-06-01,27.52
18,2021-06-02,27.03
19,2021-06-03,27.13
20,2021-06-04,26.86
21,2021-06-07,26.99
22,2021-06-08,27.84
23,2021-06-09,28.07
24,2021-06-10,28.3
25,2021-06-11,27.85
26,2021-06-14,28.7
27,2021-06-15,28.14
28,2021-06-16,27.0
29,2021-06-17,25.78
30,2021-06-18,26.61
31,2021-06-21,26.49
32,2021-06-22,25.58
33,2021-06-23,25.6305
34,2021-06-24,26.25
35,2021-06-25,26.0
36,2021-06-28,25.63
37,2021-06-29,26.21
38,2021-06-30,26.4342
39,2021-07-01,27.38
40,2021-07-02,27.02
41,2021-07-06,28.82
42,2021-07-07,27.46
43,2021-07-08,27.11
44,2021-07-09,27.2282
45,2021-07-12,26.8
46,2021-07-13,26.45
47,2021-07-14,26.72
48,2021-07-15,25.76
49,2021-07-16,25.7104
50,2021-07-19,26.53
51,2021-07-20,26.85
52,2021-07-21,26.78
53,2021-07-22,27.06
54,2021-07-23,27.88
55,2021-07-26,28.3062
56,2021-07-27,27.68
57,2021-07-28,28.05
58,2021-07-29,29.12
59,2021-07-30,28.51
60,2021-08-02,28.6
61,2021-08-03,28.39
62,2021-08-04,27.9
63,2021-08-05,28.36
64,2021-08-06,29.05
65,2021-08-09,29.68
66,2021-08-10,27.38
67,2021-08-11,26.75
68,2021-08-12,25.16
69,2021-08-13,27.43
70,2021-08-16,27.35
71,2021-08-17,26.1
72,2021-08-18,28.19
73,2021-08-19,28.95
74,2021-08-20,28.7
75,2021-08-23,30.62
76,2021-08-24,33.91
77,2021-08-25,34.33
78,2021-08-26,35.49
79,2021-08-27,37.99
80,2021-08-30,44.5
81,2021-08-31,53.31
82,2021-09-01,48.46
83,2021-09-02,47.5
84,2021-09-03,47.54
85,2021-09-07,52.94
86,2021-09-08,53.0
87,2021-09-09,52.0
88,2021-09-10,47.71
89,2021-09-13,28.6441
90,2021-09-14,29.66
91,2021-09-15,30.0
92,2021-09-16,28.0
93,2021-09-17,27.56
94,2021-09-20,25.59
95,2021-09-21,27.39
96,2021-09-22,31.22
97,2021-09-23,32.25
98,2021-09-24,31.28
99,2021-09-27,30.0
100,2021-09-28,29.25
101,2021-09-29,30.02
102,2021-09-30,31.0
103,2021-10-01,30.38
104,2021-10-04,29.49
105,2021-10-05,28.95
106,2021-10-06,28.26
107,2021-10-07,28.79
108,2021-10-08,29.35
109,2021-10-11,27.84
110,2021-10-12,27.815
111,2021-10-13,28.21
112,2021-10-14,27.56
113,2021-10-15,27.99
114,2021-10-18,37.51
115,2021-10-19,35.97
116,2021-10-20,41.91
117,2021-10-21,45.39
118,2021-10-22,44.3
119,2021-10-25,45.17
120,2021-10-26,50.7
121,2021-10-27,47.59
122,2021-10-28,44.91
123,2021-10-29,40.8
124,2021-11-01,48.58
125,2021-11-02,46.9
126,2021-11-03,46.71
127,2021-11-04,46.38
