,date,open
0,2021-04-09,22.82
1,2021-04-12,22.12
2,2021-04-13,17.98
3,2021-04-14,17.08
4,2021-04-15,17.47
5,2021-04-16,16.44
6,2021-04-19,16.05
7,2021-04-20,15.39
8,2021-04-21,15.375
9,2021-04-22,15.23
10,2021-04-23,16.36
11,2021-04-26,15.95
12,2021-04-27,15.92
13,2021-04-28,16.2
14,2021-04-29,16.56
15,2021-04-30,16.36
16,2021-05-03,15.81
17,2021-05-04,15.27
18,2021-05-05,15.34
19,2021-05-06,14.48
20,2021-05-07,13.77
21,2021-05-10,13.66
22,2021-05-11,13.39
23,2021-05-12,13.35
24,2021-05-13,13.02
25,2021-05-14,12.86
26,2021-05-17,13.49
27,2021-05-18,14.78
28,2021-05-19,14.57
29,2021-05-20,14.88
30,2021-05-21,14.84
31,2021-05-24,14.93
32,2021-05-25,14.75
33,2021-05-26,14.89
34,2021-05-27,14.94
35,2021-05-28,14.73
36,2021-06-01,15.08
37,2021-06-02,15.18
38,2021-06-03,14.83
39,2021-06-04,16.2
40,2021-06-07,16.15
41,2021-06-08,16.005
42,2021-06-09,16.06
43,2021-06-10,16.03
44,2021-06-11,16.01
45,2021-06-14,16.57
46,2021-06-15,16.38
47,2021-06-16,16.61
48,2021-06-17,16.39
49,2021-06-18,16.05
50,2021-06-21,16.25
51,2021-06-22,14.33
52,2021-06-23,13.89
53,2021-06-24,13.74
54,2021-06-25,12.63
55,2021-06-28,12.61
56,2021-06-29,12.55
57,2021-06-30,11.9
58,2021-07-01,12.12
59,2021-07-02,11.38
60,2021-07-06,10.91
61,2021-07-07,10.21
62,2021-07-08,10.0
63,2021-07-09,10.55
64,2021-07-12,11.0
65,2021-07-13,10.49
66,2021-07-14,10.84
67,2021-07-15,10.31
68,2021-07-16,10.47
69,2021-07-19,10.7
70,2021-07-20,9.98
71,2021-07-21,9.782
72,2021-07-22,9.64
73,2021-07-23,9.86
74,2021-07-26,9.75
75,2021-07-27,9.58
76,2021-07-28,8.9
77,2021-07-29,9.075
78,2021-07-30,9.4234
79,2021-08-02,9.14
80,2021-08-03,8.75
81,2021-08-04,8.75
82,2021-08-05,8.56
83,2021-08-06,8.45
84,2021-08-09,8.5
85,2021-08-10,8.3396
86,2021-08-11,8.48
