,date,open
0,2021-06-17,30.0
1,2021-06-18,33.39
2,2021-06-21,37.63
3,2021-06-22,37.0
4,2021-06-23,38.86
5,2021-06-24,37.52
6,2021-06-25,36.56
7,2021-06-28,41.96
8,2021-06-29,44.82
9,2021-06-30,58.52
10,2021-07-01,62.0
11,2021-07-02,53.16
12,2021-07-06,49.84
13,2021-07-07,48.2
14,2021-07-08,46.29
15,2021-07-09,46.7
16,2021-07-12,47.03
17,2021-07-13,48.4
18,2021-07-14,53.76
19,2021-07-15,51.1672
20,2021-07-16,46.8
21,2021-07-19,49.01
22,2021-07-20,51.45
23,2021-07-21,50.72
24,2021-07-22,53.54
25,2021-07-23,51.5
26,2021-07-26,53.0
27,2021-07-27,52.44
28,2021-07-28,49.78
29,2021-07-29,56.29
30,2021-07-30,59.11
31,2021-08-02,59.45
32,2021-08-03,65.97
33,2021-08-04,61.97
34,2021-08-05,63.85
35,2021-08-06,69.92
36,2021-08-09,68.03
37,2021-08-10,69.77
38,2021-08-11,69.05
39,2021-08-12,67.5
40,2021-08-13,60.17
41,2021-08-16,59.31
42,2021-08-17,59.57
43,2021-08-18,59.63
44,2021-08-19,61.73
45,2021-08-20,63.83
46,2021-08-23,64.15
47,2021-08-24,65.18
48,2021-08-25,62.8
49,2021-08-26,64.58
50,2021-08-27,66.62
51,2021-08-30,70.78
52,2021-08-31,68.4
53,2021-09-01,70.35
54,2021-09-02,70.47
55,2021-09-03,71.44
56,2021-09-07,72.67
57,2021-09-08,70.87
58,2021-09-09,70.3
59,2021-09-10,73.44
60,2021-09-13,74.12
61,2021-09-14,62.8
62,2021-09-15,62.31
63,2021-09-16,65.64
64,2021-09-17,69.98
65,2021-09-20,58.44
66,2021-09-21,53.6
67,2021-09-22,50.7
68,2021-09-23,49.01
69,2021-09-24,50.63
70,2021-09-27,47.48
71,2021-09-28,48.59
72,2021-09-29,48.39
73,2021-09-30,47.59
74,2021-10-01,46.57
75,2021-10-04,49.22
76,2021-10-05,50.18
77,2021-10-06,49.17
78,2021-10-07,48.5
79,2021-10-08,46.29
80,2021-10-11,43.94
81,2021-10-12,45.22
82,2021-10-13,44.48
83,2021-10-14,43.53
84,2021-10-15,46.01
85,2021-10-18,43.72
86,2021-10-19,43.31
87,2021-10-20,45.8
88,2021-10-21,44.66
89,2021-10-22,43.82
90,2021-10-25,43.08
91,2021-10-26,44.81
92,2021-10-27,45.42
93,2021-10-28,45.86
94,2021-10-29,48.21
95,2021-11-01,46.16
96,2021-11-02,50.13
97,2021-11-03,53.15
98,2021-11-04,54.9
99,2021-11-05,54.46
100,2021-11-08,55.08
101,2021-11-09,52.01
102,2021-11-10,49.88
103,2021-11-11,49.93
104,2021-11-12,49.47
105,2021-11-15,48.52
106,2021-11-16,45.61
107,2021-11-17,44.99
108,2021-11-18,41.56
109,2021-11-19,41.15
110,2021-11-22,42.07
111,2021-11-23,38.2
112,2021-11-24,35.05
113,2021-11-26,35.16
114,2021-11-29,33.93
115,2021-11-30,33.3
116,2021-12-01,35.1
117,2021-12-02,33.07
118,2021-12-03,33.11
119,2021-12-06,32.9537
120,2021-12-07,32.88
121,2021-12-08,35.17
122,2021-12-09,35.65
123,2021-12-10,32.88
