,date,open
0,2022-01-07,12.0
1,2022-01-10,12.48
2,2022-01-11,11.17
3,2022-01-12,12.05
4,2022-01-13,13.7
5,2022-01-14,13.54
6,2022-01-18,14.36
7,2022-01-19,14.02
8,2022-01-20,13.85
9,2022-01-21,14.0
10,2022-01-24,14.2
11,2022-01-25,13.05
12,2022-01-26,14.2
13,2022-01-27,13.71
14,2022-01-28,13.72
15,2022-01-31,14.45
16,2022-02-01,12.84
17,2022-02-02,13.98
18,2022-02-03,13.8733
19,2022-02-04,14.09
20,2022-02-07,13.75
21,2022-02-08,14.5
22,2022-02-09,13.95
23,2022-02-10,14.94
24,2022-02-11,15.22
25,2022-02-14,15.93
26,2022-02-15,16.05
27,2022-02-16,16.45
28,2022-02-17,17.21
29,2022-02-18,17.7796
30,2022-02-22,15.72
31,2022-02-23,14.11
32,2022-02-24,13.81
33,2022-02-25,14.89
34,2022-02-28,15.0
35,2022-03-01,17.33
36,2022-03-02,16.6
37,2022-03-03,16.4
38,2022-03-04,15.98
39,2022-03-07,15.01
40,2022-03-08,16.28
41,2022-03-09,16.67
42,2022-03-10,15.45
43,2022-03-11,15.4
44,2022-03-14,12.1
45,2022-03-15,11.69
46,2022-03-16,13.4
47,2022-03-17,10.79
48,2022-03-18,10.53
49,2022-03-21,10.0
50,2022-03-22,8.0
51,2022-03-23,8.01
52,2022-03-24,7.35
53,2022-03-25,7.76
54,2022-03-28,7.34
55,2022-03-29,7.0
56,2022-03-30,7.99
57,2022-03-31,7.16
58,2022-04-01,7.12
59,2022-04-04,7.71
60,2022-04-05,7.03
61,2022-04-06,6.83
62,2022-04-07,6.53
63,2022-04-08,6.4
64,2022-04-11,6.35
65,2022-04-12,6.83
66,2022-04-13,6.55
67,2022-04-14,6.99
68,2022-04-18,6.77
69,2022-04-19,6.7399
70,2022-04-20,7.5
71,2022-04-21,7.48
72,2022-04-22,6.08
73,2022-04-25,5.6
74,2022-04-26,5.11
75,2022-04-27,4.92
76,2022-04-28,4.61
77,2022-04-29,3.97
78,2022-05-02,3.54
79,2022-05-03,3.95
80,2022-05-04,3.98
81,2022-05-05,3.85
82,2022-05-06,3.42
83,2022-05-09,3.43
84,2022-05-10,3.37
85,2022-05-11,3.1
86,2022-05-12,2.2
87,2022-05-13,2.46
88,2022-05-16,2.41
89,2022-05-17,2.91
90,2022-05-18,3.28
91,2022-05-19,2.65
92,2022-05-20,2.67
93,2022-05-23,2.69
94,2022-05-24,2.59
95,2022-05-25,2.75
96,2022-05-26,2.94
97,2022-05-27,2.99
98,2022-05-31,2.87
99,2022-06-01,2.99
100,2022-06-02,2.96
101,2022-06-03,3.07
102,2022-06-06,3.49
103,2022-06-07,2.75
104,2022-06-08,3.39
105,2022-06-09,3.18
106,2022-06-10,3.08
107,2022-06-13,2.72
108,2022-06-14,3.1
109,2022-06-15,2.92
110,2022-06-16,2.61
111,2022-06-17,2.62
112,2022-06-21,2.52
113,2022-06-22,2.43
114,2022-06-23,2.51
115,2022-06-24,2.66
116,2022-06-27,2.82
117,2022-06-28,3.12
118,2022-06-29,2.92
119,2022-06-30,2.82
120,2022-07-01,2.51
121,2022-07-05,2.36
122,2022-07-06,2.7
123,2022-07-07,3.1
124,2022-07-08,3.61
125,2022-07-11,4.5
126,2022-07-12,4.28
127,2022-07-13,3.84
128,2022-07-14,3.97
129,2022-07-15,4.65
130,2022-07-18,6.2
131,2022-07-19,6.57
132,2022-07-20,7.2
133,2022-07-21,7.45
134,2022-07-22,7.5
135,2022-07-25,7.23
136,2022-07-26,6.97
137,2022-07-27,6.5608
138,2022-07-28,6.9
139,2022-07-29,6.87
140,2022-08-01,6.79
141,2022-08-02,6.2
142,2022-08-03,6.62
143,2022-08-04,6.95
144,2022-08-05,7.19
145,2022-08-08,7.75
146,2022-08-09,7.6
147,2022-08-10,6.86
148,2022-08-11,7.2
149,2022-08-12,7.79
150,2022-08-15,7.8
151,2022-08-16,7.8
152,2022-08-17,7.8
153,2022-08-18,8.0426
154,2022-08-19,7.47
155,2022-08-22,7.455
156,2022-08-23,7.73
157,2022-08-24,7.535
158,2022-08-25,7.94
159,2022-08-26,7.93
160,2022-08-29,9.1
161,2022-08-30,8.46
162,2022-08-31,8.52
163,2022-09-01,9.21
164,2022-09-02,9.14
165,,7.75
166,2022-08-09,7.6
167,2022-08-10,6.86
168,2022-08-11,7.2
169,2022-08-12,7.79
170,2022-08-15,7.8
171,2022-08-16,7.8
172,2022-08-17,7.8
173,2022-08-18,8.0426
174,2022-08-19,7.47
175,2022-08-22,7.455
176,2022-08-23,7.73
177,2022-08-24,7.535
178,2022-08-25,7.94
179,2022-08-26,7.93
180,2022-08-29,9.1
181,2022-08-30,8.46
182,2022-08-31,8.52
183,2022-09-01,9.21
184,2022-09-02,9.14
