,date,open
0,2019-10-11,16.15
1,2019-10-14,14.5
2,2019-10-15,13.8
3,2019-10-16,14.72
4,2019-10-17,14.71
5,2019-10-18,14.25
6,2019-10-21,13.73
7,2019-10-22,14.31
8,2019-10-23,14.3
9,2019-10-24,14.4
10,2019-10-25,14.32
11,2019-10-28,14.65
12,2019-10-29,15.11
13,2019-10-30,14.97
14,2019-10-31,14.45
15,2019-11-01,14.1
16,2019-11-04,15.15
17,2019-11-05,15.92
18,2019-11-06,15.89
19,2019-11-07,14.74
20,2019-11-08,14.52
21,2019-11-11,13.86
22,2019-11-12,13.21
23,2019-11-13,13.2
24,2019-11-14,13.01
25,2019-11-15,13.02
26,2019-11-18,12.92
27,2019-11-19,12.87
28,2019-11-20,12.77
29,2019-11-21,12.42
30,2019-11-22,12.72
31,2019-11-25,12.92
32,2019-11-26,12.45
33,2019-11-27,11.94
34,2019-11-29,11.93
35,2019-12-02,11.99
36,2019-12-03,13.12
37,2019-12-04,13.2
38,2019-12-05,13.63
39,2019-12-06,13.14
40,2019-12-09,12.54
41,2019-12-10,13.0
42,2019-12-11,12.78
43,2019-12-12,12.94
44,2019-12-13,12.96
45,2019-12-16,13.69
46,2019-12-17,12.52
47,2019-12-18,12.57
48,2019-12-19,12.29
49,2019-12-20,12.4
50,2019-12-23,12.34
51,2019-12-24,12.55
52,2019-12-26,12.66
53,2019-12-27,12.83
54,2019-12-30,12.41
55,2019-12-31,12.14
56,2020-01-02,12.56
57,2020-01-03,12.2
58,2020-01-06,12.13
59,2020-01-07,12.15
60,2020-01-08,12.15
61,2020-01-09,12.58
62,2020-01-10,12.73
63,2020-01-13,12.96
64,2020-01-14,13.35
65,2020-01-15,14.66
66,2020-01-16,15.82
67,2020-01-17,17.5
68,2020-01-21,16.4
69,2020-01-22,16.48
70,2020-01-23,18.25
71,2020-01-24,17.42
72,2020-01-27,25.93
73,2020-01-28,24.05
74,2020-01-29,20.63
75,2020-01-30,23.34
76,2020-01-31,25.25
77,2020-02-03,26.9
78,2020-02-04,20.69
79,2020-02-05,20.52
80,2020-02-06,20.1
81,2020-02-07,18.74
82,2020-02-10,20.86
83,2020-02-11,20.0
84,2020-02-12,19.13
85,2020-02-13,19.28
86,2020-02-14,17.11
87,2020-02-18,17.82
88,2020-02-19,17.62
89,2020-02-20,16.88
90,2020-02-21,16.91
91,2020-02-24,18.0
92,2020-02-25,20.62
93,2020-02-26,23.29
94,2020-02-27,68.99
95,2020-02-28,71.15
96,2020-03-02,39.53
97,2020-03-03,38.7
98,2020-03-04,42.0
99,2020-03-05,45.72
100,2020-03-06,42.55
101,2020-03-09,49.19
102,2020-03-10,37.9
103,2020-03-11,33.55
104,2020-03-12,40.0
105,2020-03-13,37.54
106,2020-03-16,36.25
107,2020-03-17,47.07
108,2020-03-18,49.16
109,2020-03-19,47.5
110,2020-03-20,43.3
111,2020-03-23,39.94
112,2020-03-24,35.32
113,2020-03-25,37.0
114,2020-03-26,31.37
115,2020-03-27,32.5
116,2020-03-30,36.5
117,2020-03-31,35.47
118,2020-04-01,33.05
119,2020-04-02,29.96
120,2020-04-03,29.0
121,2020-04-06,36.5
122,2020-04-07,36.5
123,2020-04-08,31.0
124,2020-04-09,29.86
125,2020-04-13,31.4
126,2020-04-14,29.75
127,2020-04-15,29.06
128,2020-04-16,29.2
129,2020-04-17,29.63
130,2020-04-20,29.23
131,2020-04-21,32.0
132,2020-04-22,30.55
133,2020-04-23,29.55
134,2020-04-24,31.25
135,2020-04-27,34.03
136,2020-04-28,33.34
137,2020-04-29,33.1
138,2020-04-30,30.06
139,2020-05-01,29.64
140,2020-05-04,28.25
141,2020-05-05,30.0
142,2020-05-06,29.67
143,2020-05-07,28.38
144,2020-05-08,29.84
145,2020-05-11,30.69
146,2020-05-12,32.18
147,2020-05-13,30.81
148,2020-05-14,30.01
149,2020-05-15,30.21
150,2020-05-18,33.45
151,2020-05-19,38.81
152,2020-05-20,35.72
153,2020-05-21,39.45
154,2020-05-22,37.11
155,2020-05-26,34.74
156,2020-05-27,32.74
157,2020-05-28,31.07
158,2020-05-29,31.88
159,2020-06-01,34.0
160,2020-06-02,35.62
161,2020-06-03,36.66
162,2020-06-04,33.74
163,2020-06-05,33.19
164,2020-06-08,34.26
165,2020-06-09,35.65
166,2020-06-10,35.0
167,2020-06-11,34.26
168,2020-06-12,33.95
169,2020-06-15,34.17
170,2020-06-16,36.0
171,2020-06-17,36.46
172,2020-06-18,35.34
173,2020-06-19,37.71
174,2020-06-22,41.03
175,2020-06-23,39.2
176,2020-06-24,40.37
177,2020-06-25,47.92
178,2020-06-26,44.09
179,2020-06-29,38.15
180,2020-06-30,36.59
181,2020-07-01,38.65
182,2020-07-02,39.5
183,2020-07-06,38.8
184,2020-07-07,41.25
185,2020-07-08,45.0
186,2020-07-09,46.59
187,2020-07-10,47.47
188,2020-07-13,49.6
189,2020-07-14,50.08
190,2020-07-15,50.0
191,2020-07-16,50.33
192,2020-07-17,49.5
193,2020-07-20,52.55
194,2020-07-21,52.0
195,2020-07-22,52.15
196,2020-07-23,49.99
197,2020-07-24,47.27
198,2020-07-27,48.63
199,2020-07-28,48.0
200,2020-07-29,48.23
201,2020-07-30,46.94
202,2020-07-31,47.5
203,2020-08-03,47.93
204,2020-08-04,50.0
205,2020-08-05,51.0
206,2020-08-06,51.0
207,2020-08-07,50.08
208,2020-08-10,52.52
209,2020-08-11,52.99
210,2020-08-12,52.21
211,2020-08-13,52.51
212,2020-08-14,52.52
213,2020-08-17,52.74
214,2020-08-18,53.79
215,2020-08-19,53.03
216,2020-08-20,50.07
217,2020-08-21,51.99
218,2020-08-24,53.01
219,2020-08-25,45.0
220,2020-08-26,42.04
221,2020-08-27,43.66
222,2020-08-28,42.23
223,2020-08-31,43.73
224,2020-09-01,39.49
225,2020-09-02,33.88
226,2020-09-03,33.35
227,2020-09-04,30.21
228,2020-09-08,28.28
229,2020-09-09,29.3
230,2020-09-10,30.17
231,2020-09-11,29.63
232,2020-09-14,30.59
233,2020-09-15,32.38
234,2020-09-16,31.03
235,2020-09-17,32.36
236,2020-09-18,32.1
237,2020-09-21,32.47
238,2020-09-22,31.75
239,2020-09-23,32.86
240,2020-09-24,32.16
241,2020-09-25,32.06
242,2020-09-28,35.9
243,2020-09-29,36.0
244,2020-09-30,37.69
245,2020-10-01,34.99
246,2020-10-02,34.28
247,2020-10-05,34.99
248,2020-10-06,42.79
249,2020-10-07,42.36
250,2020-10-08,42.23
251,2020-10-09,41.4
252,2020-10-12,40.9
253,2020-10-13,42.98
254,2020-10-14,42.76
255,2020-10-15,41.46
256,2020-10-16,41.5
257,2020-10-19,38.56
258,2020-10-20,36.6
259,2020-10-21,36.54
260,2020-10-22,36.7
261,2020-10-23,37.45
262,2020-10-26,34.83
263,2020-10-27,36.0
264,2020-10-28,34.92
265,2020-10-29,33.37
266,2020-10-30,33.51
267,2020-11-02,31.53
268,2020-11-03,31.0
269,2020-11-04,32.0
270,2020-11-05,32.17
271,2020-11-06,30.84
272,2020-11-09,29.85
273,2020-11-10,26.3067
274,2020-11-11,25.9
275,2020-11-12,27.73
276,2020-11-13,28.64
277,2020-11-16,26.278
278,2020-11-17,26.62
279,2020-11-18,27.1
280,2020-11-19,27.5
281,2020-11-20,28.59
282,2020-11-23,29.08
283,2020-11-24,27.9
284,2020-11-25,27.11
285,2020-11-27,28.65
286,2020-11-30,29.56
287,2020-12-01,32.56
288,2020-12-02,30.94
289,2020-12-03,30.3
290,2020-12-04,31.5928
291,2020-12-07,32.2
292,2020-12-08,31.64
293,2020-12-09,32.1
294,2020-12-10,29.55
295,2020-12-11,31.89
296,2020-12-14,32.15
297,2020-12-15,32.83
298,2020-12-16,32.84
299,2020-12-17,31.37
300,2020-12-18,32.83
301,2020-12-21,30.52
302,2020-12-22,30.81
303,2020-12-23,30.21
304,2020-12-24,30.78
305,2020-12-28,29.83
306,2020-12-29,28.42
307,2020-12-30,28.87
308,2020-12-31,28.03
309,2021-01-04,27.46
310,2021-01-05,26.63
311,2021-01-06,26.19
312,2021-01-07,26.51
313,2021-01-08,29.75
314,2021-01-11,27.8
315,2021-01-12,28.8
316,2021-01-13,32.0
317,2021-01-14,35.72
318,2021-01-15,36.56
319,2021-01-19,39.06
320,2021-01-20,40.74
321,2021-01-21,44.0
322,2021-01-22,41.27
323,2021-01-25,41.07
324,2021-01-26,45.0
325,2021-01-27,71.8658
326,2021-01-28,82.81
327,2021-01-29,66.3
328,2021-02-01,66.9
329,2021-02-02,67.16
330,2021-02-03,60.0
331,2021-02-04,65.3
332,2021-02-05,65.5
333,2021-02-08,67.5
334,2021-02-09,73.5
335,2021-02-10,76.83
336,2021-02-11,73.96
337,2021-02-12,70.5
338,2021-02-16,70.48
339,2021-02-17,73.04
340,2021-02-18,76.28
341,2021-02-19,71.0
342,2021-02-22,75.2
343,2021-02-23,67.9
344,2021-02-24,64.01
345,2021-02-25,69.51
346,2021-02-26,60.82
347,2021-03-01,63.72
