,date,open
0,2021-02-05,42.02
1,2021-02-08,36.81
2,2021-02-09,43.25
3,2021-02-10,44.5
4,2021-02-11,43.3
5,2021-02-12,42.88
6,2021-02-16,48.88
7,2021-02-17,52.18
8,2021-02-18,48.01
9,2021-02-19,46.64
10,2021-02-22,49.08
11,2021-02-23,45.1
12,2021-02-24,42.74
13,2021-02-25,52.01
14,2021-02-26,51.02
15,2021-03-01,45.61
16,2021-03-02,46.32
17,2021-03-03,43.58
18,2021-03-04,39.38
19,2021-03-05,34.24
20,2021-03-08,32.02
21,2021-03-09,31.41
22,2021-03-10,39.08
23,2021-03-11,41.61
24,2021-03-12,42.84
25,2021-03-15,44.93
26,2021-03-16,41.14
27,2021-03-17,40.19
28,2021-03-18,37.44
29,2021-03-19,40.2
30,2021-03-22,39.83
31,2021-03-23,42.86
32,2021-03-24,41.56
33,2021-03-25,39.57
34,2021-03-26,38.83
35,2021-03-29,36.58
36,2021-03-30,36.5
37,2021-03-31,39.22
38,2021-04-01,43.43
39,2021-04-05,39.46
40,2021-04-06,38.31
41,2021-04-07,37.48
42,2021-04-08,35.56
43,2021-04-09,34.11
44,2021-04-12,32.19
45,2021-04-13,32.07
46,2021-04-14,29.39
47,2021-04-15,33.74
48,2021-04-16,31.91
49,2021-04-19,29.7
50,2021-04-20,28.46
51,2021-04-21,27.01
52,2021-04-22,27.48
53,2021-04-23,30.02
54,2021-04-26,30.04
55,2021-04-27,29.14
56,2021-04-28,28.57
57,2021-04-29,28.97
58,2021-04-30,28.99
59,2021-05-03,28.23
60,2021-05-04,28.61
61,2021-05-05,25.31
62,2021-05-06,26.51
63,2021-05-07,24.83
64,2021-05-10,24.36
65,2021-05-11,22.04
66,2021-05-12,23.01
67,2021-05-13,21.73
68,2021-05-14,19.88
69,2021-05-17,19.6
70,2021-05-18,19.3
71,2021-05-19,22.4
72,2021-05-20,20.74
73,2021-05-21,22.05
74,2021-05-24,21.63
75,2021-05-25,20.48
76,2021-05-26,20.21
77,2021-05-27,21.23
78,2021-05-28,20.86
79,2021-06-01,21.37
80,2021-06-02,20.57
81,2021-06-03,19.77
82,2021-06-04,20.0
83,2021-06-07,20.11
84,2021-06-08,19.09
85,2021-06-09,19.12
86,2021-06-10,21.0
87,2021-06-11,22.42
88,2021-06-14,21.06
89,2021-06-15,22.12
90,2021-06-16,21.73
91,2021-06-17,20.72
92,2021-06-18,20.9
93,2021-06-21,20.85
94,2021-06-22,21.31
95,2021-06-23,20.2
96,2021-06-24,20.27
97,2021-06-25,19.94
98,2021-06-28,21.31
99,2021-06-29,20.46
100,2021-06-30,19.43
101,2021-07-01,18.83
102,2021-07-02,20.2
103,2021-07-06,20.4
104,2021-07-07,19.04
105,2021-07-08,18.01
106,2021-07-09,19.97
107,2021-07-12,19.18
108,2021-07-13,18.16
109,2021-07-14,17.0
110,2021-07-15,15.69
111,2021-07-16,15.77
112,2021-07-19,15.25
113,2021-07-20,15.39
114,2021-07-21,14.82
115,2021-07-22,14.9
116,2021-07-23,14.14
117,2021-07-26,12.83
118,2021-07-27,12.67
119,2021-07-28,12.77
120,2021-07-29,13.87
121,2021-07-30,13.155
122,2021-08-02,12.87
123,2021-08-03,12.55
124,2021-08-04,12.25
125,2021-08-05,12.81
126,2021-08-06,13.08
127,2021-08-09,13.56
128,2021-08-10,13.63
129,2021-08-11,12.87
130,2021-08-12,13.27
131,2021-08-13,13.89
132,2021-08-16,14.06
133,2021-08-17,12.2
134,2021-08-18,13.38
135,2021-08-19,13.515
136,2021-08-20,13.6
137,2021-08-23,13.55
138,2021-08-24,13.07
139,2021-08-25,13.18
140,2021-08-26,13.32
141,2021-08-27,13.84
142,2021-08-30,15.5
143,2021-08-31,15.17
144,2021-09-01,14.81
145,2021-09-02,15.04
146,2021-09-03,16.13
147,2021-09-07,15.48
148,2021-09-08,15.08
149,2021-09-09,16.19
150,2021-09-10,15.69
151,2021-09-13,15.61
152,2021-09-14,16.31
153,2021-09-15,15.44
154,2021-09-16,15.57
155,2021-09-17,14.88
156,2021-09-20,15.38
157,2021-09-21,14.21
158,2021-09-22,14.46
159,2021-09-23,14.28
160,2021-09-24,14.025
161,2021-09-27,13.53
162,2021-09-28,14.94
163,2021-09-29,15.25
164,2021-09-30,15.095
165,2021-10-01,15.625
166,2021-10-04,15.56
167,2021-10-05,15.16
168,2021-10-06,14.54
169,2021-10-07,14.7
170,2021-10-08,15.4
171,2021-10-11,14.2
172,2021-10-12,14.26
173,2021-10-13,13.95
174,2021-10-14,14.67
175,2021-10-15,15.67
176,2021-10-18,15.41
177,2021-10-19,15.5
178,2021-10-20,15.94
179,2021-10-21,15.65
180,2021-10-22,15.94
181,2021-10-25,16.71
182,2021-10-26,16.25
183,2021-10-27,16.13
184,2021-10-28,15.66
185,2021-10-29,15.39
186,2021-11-01,15.7
187,2021-11-02,16.26
188,2021-11-03,16.29
189,2021-11-04,18.0
190,2021-11-05,18.515
191,2021-11-08,18.09
192,2021-11-09,18.1
193,2021-11-10,17.79
194,2021-11-11,16.03
195,2021-11-12,16.87
196,2021-11-15,17.94
197,2021-11-16,17.88
198,2021-11-17,17.36
199,2021-11-18,15.4
200,2021-11-19,13.91
201,2021-11-22,14.675
202,2021-11-23,12.49
203,2021-11-24,12.09
204,2021-11-26,12.955
205,2021-11-29,12.15
206,2021-11-30,11.38
207,2021-12-01,11.78
208,2021-12-02,11.53
209,2021-12-03,13.28
210,2021-12-06,12.65
211,2021-12-07,13.8
212,2021-12-08,13.66
213,2021-12-09,13.79
214,2021-12-10,13.5
215,2021-12-13,13.2
216,2021-12-14,13.14
217,2021-12-15,12.2
218,2021-12-16,12.73
219,2021-12-17,12.28
220,2021-12-20,12.845
221,2021-12-21,12.47
222,2021-12-22,12.07
223,2021-12-23,12.59
224,2021-12-27,13.16
225,2021-12-28,12.77
226,2021-12-29,11.65
227,2021-12-30,11.67
228,2021-12-31,11.81
229,2022-01-03,11.67
230,2022-01-04,12.21
231,2022-01-05,12.1
232,2022-01-06,11.44
233,2022-01-07,10.77
234,2022-01-10,10.3
235,2022-01-11,10.55
236,2022-01-12,10.81
237,2022-01-13,9.69
238,2022-01-14,8.49
239,2022-01-18,9.06
240,2022-01-19,8.89
241,2022-01-20,8.58
242,2022-01-21,8.34
243,2022-01-24,8.1
244,2022-01-25,8.04
245,2022-01-26,8.49
246,2022-01-27,8.1
247,2022-01-28,7.54
248,2022-01-31,7.845
249,2022-02-01,8.28
250,2022-02-02,8.6
251,2022-02-03,7.77
252,2022-02-04,7.46
253,2022-02-07,8.05
254,2022-02-08,8.11
255,2022-02-09,8.43
256,2022-02-10,8.82
257,2022-02-11,8.99
258,2022-02-14,8.53
259,2022-02-15,8.47
260,2022-02-16,9.03
261,2022-02-17,9.13
262,2022-02-18,8.71
263,2022-02-22,9.12
264,2022-02-23,8.84
265,2022-02-24,7.51
266,2022-02-25,8.68
267,2022-02-28,8.26
268,2022-03-01,8.96
269,2022-03-02,8.96
270,2022-03-03,8.51
271,2022-03-04,7.64
272,2022-03-07,7.72
273,2022-03-08,7.89
274,2022-03-09,8.08
275,2022-03-10,8.33
276,2022-03-11,8.66
277,2022-03-14,8.43
278,2022-03-15,7.92
279,2022-03-16,7.76
280,2022-03-17,7.84
281,2022-03-18,8.45
282,2022-03-21,8.45
283,2022-03-22,7.61
284,2022-03-23,8.02
285,2022-03-24,7.67
286,2022-03-25,7.46
287,2022-03-28,6.74
288,2022-03-29,6.44
289,2022-03-30,6.39
290,2022-03-31,6.18
291,2022-04-01,6.1
292,2022-04-04,6.36
293,2022-04-05,6.4
294,2022-04-06,5.88
295,2022-04-07,5.67
296,2022-04-08,6.28
297,2022-04-11,5.82
298,2022-04-12,5.61
299,2022-04-13,5.13
300,2022-04-14,5.4
301,2022-04-18,5.77
302,2022-04-19,5.72
303,2022-04-20,5.78
304,2022-04-21,6.08
305,2022-04-22,5.98
306,2022-04-25,5.55
307,2022-04-26,5.57
308,2022-04-27,5.5
309,2022-04-28,5.6
310,2022-04-29,5.86
311,2022-05-02,5.66
312,2022-05-03,5.92
313,2022-05-04,5.74
314,2022-05-05,5.38
315,2022-05-06,5.26
316,2022-05-09,4.96
317,2022-05-10,4.79
318,2022-05-11,4.6
319,2022-05-12,4.35
320,2022-05-13,4.4
321,2022-05-16,4.19
322,2022-05-17,4.15
323,2022-05-18,4.18
324,2022-05-19,4.23
325,2022-05-20,4.35
326,2022-05-23,4.56
327,2022-05-24,4.3
328,2022-05-25,4.09
329,2022-05-26,3.9103
330,2022-05-27,3.88
331,2022-05-31,4.25
332,2022-06-01,4.025
333,2022-06-02,4.02
334,2022-06-03,4.31
