,date,open
0,1991-07-24,4.56
1,1991-07-25,4.5
2,1991-07-26,4.625
3,1991-07-29,4.625
4,1991-07-30,4.625
5,1991-07-31,4.625
6,1991-08-01,4.5
7,1991-08-02,4.625
8,1991-08-05,4.625
9,1991-08-06,4.56
10,1991-08-07,4.625
11,1991-08-08,4.625
12,1991-08-09,4.5
13,1991-08-12,4.5
14,1991-08-13,4.625
15,1991-08-14,4.625
16,1991-08-15,4.5
17,1991-08-16,4.625
18,1991-08-19,4.44
19,1991-08-20,4.375
20,1991-08-21,4.44
21,1991-08-22,4.44
22,1991-08-23,4.5
23,1991-08-26,4.5
24,1991-08-27,4.56
25,1991-08-28,4.625
26,1991-08-29,4.69
27,1991-08-30,4.94
28,1991-09-03,5.19
29,1991-09-04,5.125
30,1991-09-05,5.0
31,1991-09-06,5.125
32,1991-09-09,5.0
33,1991-09-10,5.06
34,1991-09-11,4.875
35,1991-09-12,5.25
36,1991-09-13,5.375
37,1991-09-16,5.375
38,1991-09-17,5.56
39,1991-09-18,5.56
40,1991-09-19,5.56
41,1991-09-20,6.25
42,1991-09-23,6.56
43,1991-09-24,6.375
44,1991-09-25,6.56
45,1991-09-26,7.0
46,1991-09-27,7.625
47,1991-09-30,7.5
48,1991-10-01,7.375
49,1991-10-02,7.81
50,1991-10-03,7.81
51,1991-10-04,7.5
52,1991-10-07,7.5
53,1991-10-08,6.625
54,1991-10-09,6.69
55,1991-10-10,6.875
56,1991-10-11,6.875
57,1991-10-14,6.875
58,1991-10-15,6.875
59,1991-10-16,7.44
60,1991-10-17,7.5
61,1991-10-18,7.44
62,1991-10-21,7.625
63,1991-10-22,7.25
64,1991-10-23,6.94
65,1991-10-24,7.625
66,1991-10-25,7.56
67,1991-10-28,7.25
68,1991-10-29,7.44
69,1991-10-30,7.25
70,1991-10-31,7.44
71,1991-11-01,7.375
72,1991-11-04,7.69
73,1991-11-05,7.69
74,1991-11-06,7.69
75,1991-11-07,7.75
76,1991-11-08,7.81
77,1991-11-11,7.75
78,1991-11-12,7.5
79,1991-11-13,7.19
80,1991-11-14,7.19
81,1991-11-15,6.94
82,1991-11-18,6.375
83,1991-11-19,6.0
84,1991-11-20,5.625
85,1991-11-21,5.625
86,1991-11-22,5.75
87,1991-11-25,5.75
88,1991-11-26,5.75
89,1991-11-27,5.625
90,1991-11-29,5.81
91,1991-12-02,5.75
92,1991-12-03,5.75
93,1991-12-04,5.81
94,1991-12-05,6.25
95,1991-12-06,6.75
96,1991-12-09,7.125
97,1991-12-10,7.125
98,1991-12-11,6.875
99,1991-12-12,7.0
100,1991-12-13,7.0
101,1991-12-16,6.75
102,1991-12-17,7.0
103,1991-12-18,6.875
104,1991-12-19,6.75
105,1991-12-20,7.0
106,1991-12-23,6.75
107,1991-12-24,6.625
108,1991-12-26,6.75
109,1991-12-27,6.625
110,1991-12-30,7.625
111,1991-12-31,7.5
112,1992-01-02,7.25
113,1992-01-03,7.375
114,1992-01-06,8.25
115,1992-01-07,8.625
116,1992-01-08,8.125
117,1992-01-09,8.25
118,1992-01-10,8.375
119,1992-01-13,8.375
120,1992-01-14,8.125
121,1992-01-15,8.375
122,1992-01-16,8.0
123,1992-01-17,7.5
124,1992-01-20,7.5
125,1992-01-21,7.25
126,1992-01-22,7.125
127,1992-01-23,7.375
128,1992-01-24,7.375
129,1992-01-27,7.375
130,1992-01-28,7.0
131,1992-01-29,7.0
132,1992-01-30,6.875
133,1992-01-31,6.5
134,1992-02-03,6.375
135,1992-02-04,6.375
136,1992-02-05,6.75
137,1992-02-06,6.375
138,1992-02-07,6.75
139,1992-02-10,6.375
140,1992-02-11,6.375
141,1992-02-12,6.375
142,1992-02-13,6.625
143,1992-02-14,6.5
144,1992-02-18,6.5
145,1992-02-19,6.125
146,1992-02-20,5.875
147,1992-02-21,6.25
148,1992-02-24,6.0
149,1992-02-25,6.125
150,1992-02-26,6.125
151,1992-02-27,6.25
152,1992-02-28,6.25
153,1992-03-02,6.0
154,1992-03-03,5.75
155,1992-03-04,5.75
156,1992-03-05,6.0
157,1992-03-06,6.0
158,1992-03-09,6.0
159,1992-03-10,6.125
160,1992-03-11,6.0
161,1992-03-12,6.0
162,1992-03-13,6.125
163,1992-03-16,6.625
164,1992-03-17,6.625
165,1992-03-18,6.0
166,1992-03-19,6.375
167,1992-03-20,6.0
168,1992-03-23,5.875
169,1992-03-24,5.875
170,1992-03-25,5.75
171,1992-03-26,6.0
172,1992-03-27,5.75
173,1992-03-30,5.75
174,1992-03-31,5.5
175,1992-04-01,5.875
176,1992-04-02,5.5
177,1992-04-03,5.875
178,1992-04-06,5.5
179,1992-04-07,5.875
180,1992-04-08,5.625
181,1992-04-09,5.69
182,1992-04-10,5.875
183,1992-04-13,6.0
184,1992-04-14,6.0
185,1992-04-15,6.0
186,1992-04-16,5.75
187,1992-04-20,5.75
188,1992-04-21,6.125
189,1992-04-22,5.875
190,1992-04-23,5.875
191,1992-04-24,6.125
192,1992-04-27,5.75
193,1992-04-28,6.0
194,1992-04-29,5.625
195,1992-04-30,5.875
196,1992-05-01,5.875
197,1992-05-04,6.0
198,1992-05-05,6.0
199,1992-05-06,6.0
200,1992-05-07,6.0
201,1992-05-08,5.69
202,1992-05-11,5.625
203,1992-05-12,6.0
204,1992-05-13,5.625
205,1992-05-14,5.75
206,1992-05-15,5.5
207,1992-05-18,5.125
208,1992-05-19,5.125
209,1992-05-20,5.25
210,1992-05-21,5.0
211,1992-05-22,5.25
212,1992-05-26,5.25
213,1992-05-27,5.0
214,1992-05-28,4.875
215,1992-05-29,4.875
216,1992-06-01,4.75
217,1992-06-02,5.125
218,1992-06-03,4.75
219,1992-06-04,5.0
220,1992-06-05,4.75
221,1992-06-08,5.0
222,1992-06-09,5.0
223,1992-06-10,4.56
224,1992-06-11,4.5
225,1992-06-12,4.25
226,1992-06-15,4.0
227,1992-06-16,4.0
228,1992-06-17,3.5
229,1992-06-18,3.5
230,1992-06-19,3.75
231,1992-06-22,3.75
232,1992-06-23,3.75
233,1992-06-24,3.75
234,1992-06-25,3.625
235,1992-06-26,3.5
236,1992-06-29,3.625
237,1992-06-30,3.625
238,1992-07-01,3.75
239,1992-07-02,3.75
240,1992-07-06,3.75
241,1992-07-07,3.75
242,1992-07-08,3.625
243,1992-07-09,3.625
244,1992-07-10,3.625
245,1992-07-13,3.75
246,1992-07-14,3.75
247,1992-07-15,3.75
248,1992-07-16,3.5
249,1992-07-17,3.625
250,1992-07-20,3.5
251,1992-07-21,3.56
252,1992-07-22,3.875
253,1992-07-23,3.875
254,1992-07-24,4.375
255,1992-07-27,4.375
256,1992-07-28,4.25
257,1992-07-29,4.25
258,1992-07-30,4.25
259,1992-07-31,4.25
260,1992-08-03,4.25
261,1992-08-04,4.0
262,1992-08-05,4.25
263,1992-08-06,4.375
264,1992-08-07,4.125
265,1992-08-10,4.5
266,1992-08-11,4.25
267,1992-08-12,4.5
268,1992-08-13,4.5
269,1992-08-14,5.25
270,1992-08-17,5.25
271,1992-08-18,5.25
272,1992-08-19,5.0
273,1992-08-20,5.125
274,1992-08-21,4.75
275,1992-08-24,4.5
276,1992-08-25,4.5
277,1992-08-26,4.375
278,1992-08-27,4.625
279,1992-08-28,4.625
280,1992-08-31,4.375
281,1992-09-01,4.75
282,1992-09-02,5.125
283,1992-09-03,5.0
284,1992-09-04,5.0
285,1992-09-08,5.25
286,1992-09-09,5.375
287,1992-09-10,5.375
288,1992-09-11,5.375
289,1992-09-14,5.5
290,1992-09-15,5.5
291,1992-09-16,5.375
292,1992-09-17,5.375
293,1992-09-18,5.125
294,1992-09-21,5.375
295,1992-09-22,5.375
296,1992-09-23,5.0
297,1992-09-24,5.0
298,1992-09-25,5.19
299,1992-09-28,5.125
300,1992-09-29,5.125
301,1992-09-30,5.0
302,1992-10-01,5.0
303,1992-10-02,5.0
304,1992-10-05,5.0
305,1992-10-06,4.875
306,1992-10-07,5.0
307,1992-10-08,4.875
308,1992-10-09,4.875
309,1992-10-12,4.625
310,1992-10-13,4.625
311,1992-10-14,4.625
312,1992-10-15,4.625
313,1992-10-16,4.625
314,1992-10-19,4.875
315,1992-10-20,4.625
316,1992-10-21,5.0
317,1992-10-22,4.75
318,1992-10-23,5.0
319,1992-10-26,4.625
320,1992-10-27,4.625
321,1992-10-28,4.625
322,1992-10-29,4.625
323,1992-10-30,4.875
324,1992-11-02,4.875
325,1992-11-03,4.75
326,1992-11-04,5.0
327,1992-11-05,5.0
328,1992-11-06,5.125
329,1992-11-09,4.875
330,1992-11-10,5.75
331,1992-11-11,5.625
332,1992-11-12,5.375
333,1992-11-13,5.75
334,1992-11-16,6.125
335,1992-11-17,6.375
336,1992-11-18,6.25
337,1992-11-19,6.25
338,1992-11-20,5.875
339,1992-11-23,5.5
340,1992-11-24,5.625
341,1992-11-25,5.375
342,1992-11-27,5.625
343,1992-11-30,5.375
344,1992-12-01,5.625
345,1992-12-02,5.375
346,1992-12-03,5.5
347,1992-12-04,5.875
348,1992-12-07,5.875
349,1992-12-08,5.625
350,1992-12-09,5.625
351,1992-12-10,5.625
352,1992-12-11,6.0
353,1992-12-14,6.0
354,1992-12-15,5.69
355,1992-12-16,5.625
356,1992-12-17,5.75
357,1992-12-18,5.5
358,1992-12-21,5.5
359,1992-12-22,5.5
360,1992-12-23,5.625
361,1992-12-24,5.125
362,1992-12-28,5.125
363,1992-12-29,5.25
364,1992-12-30,5.125
365,1992-12-31,5.125
366,1993-01-04,5.125
367,1993-01-05,5.0
368,1993-01-06,5.0
369,1993-01-07,5.125
370,1993-01-08,5.25
371,1993-01-11,5.0
372,1993-01-12,5.375
373,1993-01-13,5.375
374,1993-01-14,5.0
375,1993-01-15,5.375
376,1993-01-18,5.0
377,1993-01-19,5.0
378,1993-01-20,5.125
379,1993-01-21,5.0
380,1993-01-22,5.0
381,1993-01-25,5.0
382,1993-01-26,5.0
383,1993-01-27,5.125
384,1993-01-28,4.75
385,1993-01-29,4.875
386,1993-02-01,4.875
387,1993-02-02,4.875
388,1993-02-03,4.875
389,1993-02-04,4.875
390,1993-02-05,5.0
391,1993-02-08,4.875
392,1993-02-09,4.625
393,1993-02-10,4.56
394,1993-02-11,4.625
395,1993-02-12,4.5
396,1993-02-16,4.125
397,1993-02-17,4.0
398,1993-02-18,4.25
399,1993-02-19,4.06
400,1993-02-22,3.875
401,1993-02-23,3.75
402,1993-02-24,3.5
403,1993-02-25,3.5
404,1993-02-26,3.5
405,1993-03-01,3.875
406,1993-03-02,4.0
407,1993-03-03,4.125
408,1993-03-04,4.375
409,1993-03-05,4.125
410,1993-03-08,4.375
411,1993-03-09,4.0
412,1993-03-10,3.875
413,1993-03-11,4.0
414,1993-03-12,3.815
415,1993-03-15,3.75
416,1993-03-16,4.0
417,1993-03-17,4.0
418,1993-03-18,4.0
419,1993-03-19,4.125
420,1993-03-22,3.75
421,1993-03-23,3.75
422,1993-03-24,3.75
423,1993-03-25,4.125
424,1993-03-26,4.125
425,1993-03-29,4.125
426,1993-03-30,4.125
427,1993-03-31,3.75
428,1993-04-01,4.0
429,1993-04-02,3.875
430,1993-04-05,4.0
431,1993-04-06,3.75
432,1993-04-07,3.875
433,1993-04-08,3.75
434,1993-04-12,4.0
435,1993-04-13,4.0
436,1993-04-14,4.25
437,1993-04-15,4.125
438,1993-04-16,4.125
439,1993-04-19,3.875
440,1993-04-20,4.0
441,1993-04-21,4.125
442,1993-04-22,3.875
443,1993-04-23,3.875
444,1993-04-26,3.875
445,1993-04-27,4.0
446,1993-04-28,4.0
447,1993-04-29,4.125
448,1993-04-30,3.875
449,1993-05-03,4.25
450,1993-05-04,4.25
451,1993-05-05,4.06
452,1993-05-06,3.875
453,1993-05-07,4.25
454,1993-05-10,4.75
455,1993-05-11,5.0
456,1993-05-12,5.0
457,1993-05-13,5.0
458,1993-05-14,5.125
459,1993-05-17,5.125
460,1993-05-18,5.125
461,1993-05-19,4.875
462,1993-05-20,5.125
463,1993-05-21,5.5
464,1993-05-24,6.0
465,1993-05-25,6.0
466,1993-05-26,5.0
467,1993-05-27,5.375
468,1993-05-28,5.375
469,1993-06-01,6.125
470,1993-06-02,6.125
471,1993-06-03,6.125
472,1993-06-04,6.125
473,1993-06-07,6.125
474,1993-06-08,5.75
475,1993-06-09,5.5
476,1993-06-10,5.875
477,1993-06-11,5.875
478,1993-06-14,5.875
479,1993-06-15,5.875
480,1993-06-16,5.625
481,1993-06-17,5.5
482,1993-06-18,5.5
483,1993-06-21,5.31
484,1993-06-22,5.125
485,1993-06-23,5.375
486,1993-06-24,5.25
487,1993-06-25,5.125
488,1993-06-28,5.125
489,1993-06-29,4.875
490,1993-06-30,5.0
491,1993-07-01,4.75
492,1993-07-02,4.75
493,1993-07-06,4.81
494,1993-07-07,4.94
495,1993-07-08,5.0
496,1993-07-09,5.25
497,1993-07-12,5.375
498,1993-07-13,5.25
499,1993-07-14,5.25
500,1993-07-15,5.25
501,1993-07-16,5.25
502,1993-07-19,5.375
503,1993-07-20,5.0
504,1993-07-21,5.0
505,1993-07-22,5.0
506,1993-07-23,4.875
507,1993-07-26,4.25
508,1993-07-27,4.625
509,1993-07-28,4.25
510,1993-07-29,4.625
511,1993-07-30,4.875
512,1993-08-02,4.875
513,1993-08-03,5.0
