,date,open
0,2021-10-21,18.65
1,2021-10-22,21.07
2,2021-10-25,17.78
3,2021-10-26,20.0
4,2021-10-27,17.42
5,2021-10-28,19.63
6,2021-10-29,20.05
7,2021-11-01,20.32
8,2021-11-02,20.79
9,2021-11-03,21.06
10,2021-11-04,21.41
11,2021-11-05,20.2
12,2021-11-08,20.25
13,2021-11-09,20.43
14,2021-11-10,20.28
15,2021-11-11,20.65
16,2021-11-12,22.88
17,2021-11-15,23.69
18,2021-11-16,21.54
19,2021-11-17,21.35
20,2021-11-18,21.52
21,2021-11-19,21.38
22,2021-11-22,21.71
23,2021-11-23,21.52
24,2021-11-24,20.46
25,2021-11-26,20.55
26,2021-11-29,22.56
27,2021-11-30,20.01
28,2021-12-01,19.7
29,2021-12-02,18.64
30,2021-12-03,18.91
31,2021-12-06,18.2
32,2021-12-07,15.46
33,2021-12-08,16.82
34,2021-12-09,15.66
35,2021-12-10,15.7
36,2021-12-13,16.0
37,2021-12-14,15.99
38,2021-12-15,15.31
39,2021-12-16,16.33
40,2021-12-17,14.89
41,2021-12-20,14.33
42,2021-12-21,14.28
43,2021-12-22,15.15
44,2021-12-23,15.13
45,2021-12-27,17.15
46,2021-12-28,16.76
47,2021-12-29,18.15
48,2021-12-30,18.67
49,2021-12-31,20.13
50,2022-01-03,20.22
51,2022-01-04,19.62
52,2022-01-05,19.88
53,2022-01-06,17.31
54,2022-01-07,15.965
55,2022-01-10,15.25
56,2022-01-11,15.8
57,2022-01-12,16.79
58,2022-01-13,16.0
59,2022-01-14,15.33
60,2022-01-18,15.58
61,2022-01-19,15.06
62,2022-01-20,15.08
63,2022-01-21,14.21
64,2022-01-24,14.34
65,2022-01-25,14.5
66,2022-01-26,15.21
67,2022-01-27,15.48
68,2022-01-28,15.06
69,2022-01-31,14.99
70,2022-02-01,16.49
71,2022-02-02,15.93
72,2022-02-03,14.22
73,2022-02-04,12.5
74,2022-02-07,12.24
75,2022-02-08,12.22
76,2022-02-09,12.09
77,2022-02-10,12.21
78,2022-02-11,12.23
79,2022-02-14,11.93
80,2022-02-15,12.12
81,2022-02-16,12.15
82,2022-02-17,11.48
83,2022-02-18,10.16
84,2022-02-22,10.45
85,2022-02-23,10.35
86,2022-02-24,9.6
87,2022-02-25,11.54
88,2022-02-28,11.64
