,date,open
0,2015-11-11,15.1
1,2015-11-12,17.75
2,2015-11-13,18.0
3,2015-11-16,17.83
4,2015-11-17,17.8
5,2015-11-18,19.0
6,2015-11-19,20.0
7,2015-11-20,22.2
8,2015-11-23,22.2
9,2015-11-24,23.34
10,2015-11-25,27.83
11,2015-11-27,26.07
12,2015-11-30,26.2
13,2015-12-01,25.25
14,2015-12-02,27.51
15,2015-12-03,27.49
16,2015-12-04,28.156
17,2015-12-07,28.95
18,2015-12-08,30.0
19,2015-12-09,29.79
20,2015-12-10,24.47
21,2015-12-11,24.48
22,2015-12-14,23.0
23,2015-12-15,21.44
24,2015-12-16,21.0
25,2015-12-17,19.64
26,2015-12-18,20.67
27,2015-12-21,21.89
28,2015-12-22,21.31
29,2015-12-23,21.09
30,2015-12-24,20.51
31,2015-12-28,20.86
32,2015-12-29,20.95
33,2015-12-30,23.0
34,2015-12-31,23.11
35,2016-01-04,21.7
36,2016-01-05,21.08
37,2016-01-06,20.0
38,2016-01-07,20.46
39,2016-01-08,18.95
40,2016-01-11,18.89
41,2016-01-12,16.67
42,2016-01-13,16.35
43,2016-01-14,15.32
44,2016-01-15,13.33
45,2016-01-19,14.1
46,2016-01-20,12.43
47,2016-01-21,12.37
48,2016-01-22,11.8
49,2016-01-25,12.48
50,2016-01-26,12.31
51,2016-01-27,11.43
52,2016-01-28,11.08
53,2016-01-29,10.63
54,2016-02-01,10.57
55,2016-02-02,10.94
56,2016-02-03,11.95
57,2016-02-04,11.32
58,2016-02-05,10.38
59,2016-02-08,10.35
60,2016-02-09,9.91
61,2016-02-10,10.48
62,2016-02-11,10.51
63,2016-02-12,10.17
64,2016-02-16,10.35
65,2016-02-17,10.08
66,2016-02-18,9.89
67,2016-02-19,10.03
68,2016-02-22,10.12
69,2016-02-23,9.76
70,2016-02-24,9.82
71,2016-02-25,9.93
72,2016-02-26,10.35
73,2016-02-29,9.94
74,2016-03-01,9.51
75,2016-03-02,8.48
76,2016-03-03,9.2
77,2016-03-04,9.99
78,2016-03-07,9.24
79,2016-03-08,9.37
80,2016-03-09,9.1
81,2016-03-10,9.06
82,2016-03-11,8.91
83,2016-03-14,9.69
84,2016-03-15,9.93
85,2016-03-16,9.94
86,2016-03-17,10.5
87,2016-03-18,10.6
88,2016-03-21,9.56
89,2016-03-22,9.4
90,2016-03-23,9.42
91,2016-03-24,9.26
92,2016-03-28,8.68
93,2016-03-29,8.79
94,2016-03-30,8.92
95,2016-03-31,9.19
96,2016-04-01,8.9
97,2016-04-04,9.23
98,2016-04-05,8.94
99,2016-04-06,8.72
100,2016-04-07,9.33
101,2016-04-08,9.31
102,2016-04-11,9.12
103,2016-04-12,9.57
104,2016-04-13,11.0
105,2016-04-14,13.43
106,2016-04-15,12.31
107,2016-04-18,12.04
108,2016-04-19,12.37
109,2016-04-20,12.45
110,2016-04-21,11.41
111,2016-04-22,11.86
112,2016-04-25,12.27
113,2016-04-26,12.94
114,2016-04-27,13.08
115,2016-04-28,12.5
116,2016-04-29,12.45
117,2016-05-02,11.78
118,2016-05-03,12.5
119,2016-05-04,11.99
120,2016-05-05,12.24
121,2016-05-06,12.19
122,2016-05-09,12.44
123,2016-05-10,12.23
124,2016-05-11,12.44
125,2016-05-12,12.64
126,2016-05-13,11.78
127,2016-05-16,11.87
128,2016-05-17,10.81
129,2016-05-18,11.09
130,2016-05-19,10.92
131,2016-05-20,11.8
132,2016-05-23,11.8
133,2016-05-24,12.17
134,2016-05-25,12.89
135,2016-05-26,12.79
136,2016-05-27,12.89
137,2016-05-31,13.8
138,2016-06-01,13.84
139,2016-06-02,13.88
140,2016-06-03,13.82
141,2016-06-06,13.88
142,2016-06-07,14.11
143,2016-06-08,13.46
144,2016-06-09,14.0
145,2016-06-10,14.83
146,2016-06-13,14.94
147,2016-06-14,14.21
148,2016-06-15,14.08
149,2016-06-16,14.07
150,2016-06-17,14.1
151,2016-06-20,14.44
152,2016-06-21,14.54
153,2016-06-22,12.97
154,2016-06-23,12.32
155,2016-06-24,12.03
156,2016-06-27,12.54
157,2016-06-28,10.93
158,2016-06-29,10.85
159,2016-06-30,10.6
160,2016-07-01,11.1
161,2016-07-05,10.96
162,2016-07-06,10.94
163,2016-07-07,11.0001
164,2016-07-08,11.49
165,2016-07-11,11.87
166,2016-07-12,12.11
167,2016-07-13,12.49
