,date,open
0,2018-09-21,26.5
1,2018-09-24,27.0
2,2018-09-25,27.31
3,2018-09-26,25.2
4,2018-09-27,24.75
5,2018-09-28,25.21
6,2018-10-01,27.14
7,2018-10-02,26.47
8,2018-10-03,29.37
9,2018-10-04,26.72
10,2018-10-05,23.85
11,2018-10-08,25.73
12,2018-10-09,24.0
13,2018-10-10,22.68
14,2018-10-11,22.19
15,2018-10-12,22.63
16,2018-10-15,21.63
17,2018-10-16,22.4
18,2018-10-17,21.0
19,2018-10-18,19.63
20,2018-10-19,21.8
21,2018-10-22,21.48
22,2018-10-23,21.89
23,2018-10-24,21.97
24,2018-10-25,22.5
25,2018-10-26,23.77
26,2018-10-29,22.34
27,2018-10-30,22.84
28,2018-10-31,24.16
29,2018-11-01,24.47
30,2018-11-02,25.66
31,2018-11-05,26.0
32,2018-11-06,25.73
33,2018-11-07,25.77
34,2018-11-08,25.81
35,2018-11-09,25.57
36,2018-11-12,25.63
37,2018-11-13,24.66
38,2018-11-14,23.56
39,2018-11-15,23.7
40,2018-11-16,24.5
41,2018-11-19,24.69
42,2018-11-20,24.41
43,2018-11-21,23.39
44,2018-11-23,24.85
45,2018-11-26,27.12
46,2018-11-27,25.83
47,2018-11-28,24.19
48,2018-11-29,25.76
49,2018-11-30,26.25
50,2018-12-03,25.38
51,2018-12-04,24.9
52,2018-12-06,24.03
53,2018-12-07,23.3
54,2018-12-10,22.71
55,2018-12-11,22.72
56,2018-12-12,22.03
57,2018-12-13,21.56
58,2018-12-14,21.45
59,2018-12-17,21.41
60,2018-12-18,20.6
61,2018-12-19,19.82
62,2018-12-20,18.85
63,2018-12-21,18.87
64,2018-12-24,16.76
65,2018-12-26,15.72
66,2018-12-27,16.89
67,2018-12-28,17.5
68,2018-12-31,18.89
69,2019-01-02,19.96
70,2019-01-03,18.21
71,2019-01-04,20.49
72,2019-01-07,20.01
73,2019-01-08,22.5
74,2019-01-09,21.95
75,2019-01-10,23.87
76,2019-01-11,24.55
77,2019-01-14,23.28
78,2019-01-15,23.25
79,2019-01-16,22.17
80,2019-01-17,23.0
81,2019-01-18,23.18
82,2019-01-22,23.04
83,2019-01-23,20.75
84,2019-01-24,20.36
85,2019-01-25,21.87
86,2019-01-28,21.05
87,2019-01-29,20.99
88,2019-01-30,20.17
89,2019-01-31,21.0
90,2019-02-01,20.63
91,2019-02-04,20.66
92,2019-02-05,21.19
93,2019-02-06,21.13
94,2019-02-07,19.87
95,2019-02-08,20.39
96,2019-02-11,20.51
97,2019-02-12,21.19
98,2019-02-13,21.72
99,2019-02-14,21.72
100,2019-02-15,21.42
101,2019-02-19,22.52
102,2019-02-20,22.84
103,2019-02-21,22.87
104,2019-02-22,22.83
105,2019-02-25,22.44
106,2019-02-26,22.76
107,2019-02-27,22.08
108,2019-02-28,22.335
109,2019-03-01,21.8
110,2019-03-04,21.15
111,2019-03-05,21.44
112,2019-03-06,22.24
113,2019-03-07,21.87
114,2019-03-08,20.7
115,2019-03-11,21.26
116,2019-03-12,22.0
117,2019-03-13,21.9
118,2019-03-14,21.2669
119,2019-03-15,21.39
120,2019-03-18,22.96
121,2019-03-19,23.88
122,2019-03-20,23.52
123,2019-03-21,24.46
124,2019-03-22,25.0
125,2019-03-25,23.02
126,2019-03-26,23.38
127,2019-03-27,24.01
128,2019-03-28,23.25
129,2019-03-29,23.11
130,2019-04-01,26.67
131,2019-04-02,27.82
132,2019-04-03,28.37
133,2019-04-04,28.0
134,2019-04-05,26.7
135,2019-04-08,26.93
136,2019-04-09,27.1
137,2019-04-10,26.74
138,2019-04-11,26.99
139,2019-04-12,26.61
140,2019-04-15,24.95
141,2019-04-16,25.38
142,2019-04-17,24.72
143,2019-04-18,24.52
144,2019-04-22,26.05
145,2019-04-23,24.27
146,2019-04-24,24.2
147,2019-04-25,23.42
148,2019-04-26,23.55
149,2019-04-29,23.47
150,2019-04-30,23.03
151,2019-05-01,23.1
152,2019-05-02,22.58
153,2019-05-03,22.83
154,2019-05-06,22.36
155,2019-05-07,22.42
156,2019-05-08,22.32
157,2019-05-09,22.22
158,2019-05-10,22.37
159,2019-05-13,22.25
160,2019-05-14,20.28
161,2019-05-15,20.99
162,2019-05-16,22.53
163,2019-05-17,21.12
164,2019-05-20,21.57
165,2019-05-21,21.84
166,2019-05-22,21.0
167,2019-05-23,21.06
168,2019-05-24,22.356
169,2019-05-28,20.8
170,2019-05-29,20.48
171,2019-05-30,21.45
172,2019-05-31,20.9
173,2019-06-03,20.5
174,2019-06-04,20.16
175,2019-06-05,19.53
176,2019-06-06,20.39
177,2019-06-07,21.17
178,2019-06-10,22.98
179,2019-06-11,23.0
180,2019-06-12,22.5
181,2019-06-13,21.58
182,2019-06-14,21.61
183,2019-06-17,22.0
184,2019-06-18,21.32
185,2019-06-19,22.4
186,2019-06-20,22.5
187,2019-06-21,21.37
188,2019-06-24,22.35
189,2019-06-25,21.65
190,2019-06-26,22.57
191,2019-06-27,22.5
192,2019-06-28,22.3
193,2019-07-01,23.07
194,2019-07-02,23.07
195,2019-07-03,21.66
196,2019-07-05,22.09
197,2019-07-08,22.68
198,2019-07-09,22.54
199,2019-07-10,23.04
200,2019-07-11,23.01
201,2019-07-12,22.69
202,2019-07-15,22.87
203,2019-07-16,22.93
204,2019-07-17,22.92
205,2019-07-18,22.7
206,2019-07-19,22.76
207,2019-07-22,22.85
208,2019-07-23,22.7
209,2019-07-24,22.55
210,2019-07-25,22.96
211,2019-07-26,23.0
212,2019-07-29,23.07
213,2019-07-30,23.07
214,2019-07-31,23.03
215,2019-08-01,22.41
216,2019-08-02,22.81
217,2019-08-05,22.97
218,2019-08-06,21.95
219,2019-08-07,21.78
220,2019-08-08,22.6
221,2019-08-09,23.27
222,2019-08-12,23.78
223,2019-08-13,23.78
224,2019-08-14,25.33
225,2019-08-15,25.36
226,2019-08-16,26.5
227,2019-08-19,28.14
228,2019-08-20,27.85
229,2019-08-21,27.36
230,2019-08-22,27.92
231,2019-08-23,26.84
232,2019-08-26,26.5
233,2019-08-27,26.62
234,2019-08-28,26.56
235,2019-08-29,26.76
236,2019-08-30,27.18
237,2019-09-03,26.18
238,2019-09-04,26.33
239,2019-09-05,26.59
240,2019-09-06,26.64
241,2019-09-09,27.39
242,2019-09-10,27.84
243,2019-09-11,28.7
244,2019-09-12,29.48
245,2019-09-13,30.55
246,2019-09-16,29.36
247,2019-09-17,30.68
248,2019-09-18,31.37
249,2019-09-19,31.33
250,2019-09-20,31.06
251,2019-09-23,30.94
252,2019-09-24,31.24
253,2019-09-25,30.7
254,2019-09-26,27.8
255,2019-09-27,26.99
256,2019-09-30,25.78
