,date,open
0,2017-08-09,18.12
1,2017-08-10,17.97
2,2017-08-11,18.02
3,2017-08-14,17.96
4,2017-08-15,17.81
5,2017-08-16,17.95
6,2017-08-17,18.02
7,2017-08-18,17.3
8,2017-08-21,17.81
9,2017-08-22,17.78
10,2017-08-23,17.9
11,2017-08-24,18.4
12,2017-08-25,19.06
13,2017-08-28,18.95
14,2017-08-29,19.16
15,2017-08-30,18.74
16,2017-08-31,18.75
17,2017-09-01,19.04
18,2017-09-05,20.25
19,2017-09-06,20.17
20,2017-09-07,20.34
21,2017-09-08,20.17
22,2017-09-11,20.1
23,2017-09-12,20.1
24,2017-09-13,20.2
25,2017-09-14,20.04
26,2017-09-15,19.7
27,2017-09-18,19.45
28,2017-09-19,19.0
29,2017-09-20,18.82
30,2017-09-21,18.62
31,2017-09-22,18.85
32,2017-09-25,18.66
33,2017-09-26,18.2999
34,2017-09-27,18.87
35,2017-09-28,18.95
36,2017-09-29,19.0
37,2017-10-02,18.82
38,2017-10-03,19.179
39,2017-10-04,19.25
40,2017-10-05,19.03
41,2017-10-06,19.21
42,2017-10-09,19.1
43,2017-10-10,19.11
44,2017-10-11,19.3
45,2017-10-12,19.26
46,2017-10-13,19.23
47,2017-10-16,18.97
48,2017-10-17,18.74
49,2017-10-18,18.59
50,2017-10-19,18.8
51,2017-10-20,18.471
52,2017-10-23,18.71
53,2017-10-24,18.91
54,2017-10-25,18.73
55,2017-10-26,18.65
56,2017-10-27,18.41
57,2017-10-30,18.4
58,2017-10-31,18.48
59,2017-11-01,18.28
60,2017-11-02,17.0
61,2017-11-03,15.56
62,2017-11-06,15.54
63,2017-11-07,14.9
64,2017-11-08,15.16
65,2017-11-09,14.24
66,2017-11-10,14.39
67,2017-11-13,14.52
68,2017-11-14,14.5
69,2017-11-15,14.06
70,2017-11-16,14.83
71,2017-11-17,14.605
72,2017-11-20,14.555
73,2017-11-21,14.45
74,2017-11-22,14.32
75,2017-11-24,14.65
76,2017-11-27,14.2
77,2017-11-28,13.58
78,2017-11-29,13.5
79,2017-11-30,14.085
80,2017-12-01,14.16
81,2017-12-04,14.15
82,2017-12-05,13.67
83,2017-12-06,13.34
84,2017-12-07,13.27
85,2017-12-08,14.02
86,2017-12-11,13.83
87,2017-12-12,13.54
88,2017-12-13,13.38
89,2017-12-14,13.42
90,2017-12-15,13.33
91,2017-12-18,13.13
92,2017-12-19,12.72
93,2017-12-20,12.57
94,2017-12-21,13.1782
95,2017-12-22,13.73
96,2017-12-26,13.62
97,2017-12-27,13.93
98,2017-12-28,14.14
99,2017-12-29,13.8
100,2018-01-02,13.99
101,2018-01-03,14.77
102,2018-01-04,15.03
103,2018-01-05,14.82
104,2018-01-08,14.76
105,2018-01-09,14.61
106,2018-01-10,14.48
107,2018-01-11,14.16
108,2018-01-12,14.47
109,2018-01-16,14.76
110,2018-01-17,14.73
111,2018-01-18,14.83
112,2018-01-19,14.82
113,2018-01-22,15.0
114,2018-01-23,15.75
