,date,open
0,2017-04-28,13.5
1,2017-05-01,13.2
2,2017-05-02,13.0
3,2017-05-03,13.1
4,2017-05-04,13.34
5,2017-05-05,13.16
6,2017-05-08,13.13
7,2017-05-09,13.0
8,2017-05-10,13.03
9,2017-05-11,13.1
10,2017-05-12,13.09
11,2017-05-15,13.0
12,2017-05-16,13.19
13,2017-05-17,13.0
14,2017-05-18,13.0
15,2017-05-19,13.03
16,2017-05-22,13.04
17,2017-05-23,13.01
18,2017-05-24,13.14
19,2017-05-25,13.21
20,2017-05-26,13.04
21,2017-05-30,12.49
22,2017-05-31,12.1
23,2017-06-01,11.7
24,2017-06-02,10.9
25,2017-06-05,10.48
26,2017-06-06,10.2
27,2017-06-07,9.87
28,2017-06-08,9.8
29,2017-06-09,9.5
30,2017-06-12,9.39
31,2017-06-13,9.26
32,2017-06-14,8.83
33,2017-06-15,8.77
34,2017-06-16,8.15
35,2017-06-19,9.75
36,2017-06-20,9.38
37,2017-06-21,9.72
38,2017-06-22,9.51
39,2017-06-23,9.4
40,2017-06-26,8.81
41,2017-06-27,9.37
42,2017-06-28,9.05
43,2017-06-29,8.7
44,2017-06-30,8.31
45,2017-07-03,8.4
46,2017-07-05,8.28
47,2017-07-06,8.51
48,2017-07-07,8.27
49,2017-07-10,8.27
50,2017-07-11,8.39
51,2017-07-12,8.31
52,2017-07-13,8.14
53,2017-07-14,8.4
54,2017-07-17,8.14
55,2017-07-18,8.22
56,2017-07-19,8.03
57,2017-07-20,8.19
58,2017-07-21,7.95
59,2017-07-24,7.9268
60,2017-07-25,7.37
61,2017-07-26,7.23
62,2017-07-27,7.05
63,2017-07-28,7.7
64,2017-07-31,7.18
65,2017-08-01,7.1917
66,2017-08-02,7.06
67,2017-08-03,6.98
68,2017-08-04,7.03
69,2017-08-07,6.81
70,2017-08-08,6.43
71,2017-08-09,6.65
72,2017-08-10,7.1756
73,2017-08-11,6.89
74,2017-08-14,7.19
75,2017-08-15,7.55
76,2017-08-16,7.4
77,2017-08-17,7.7
78,2017-08-18,6.98
79,2017-08-21,7.4053
80,2017-08-22,7.19
81,2017-08-23,7.22
82,2017-08-24,7.0
83,2017-08-25,7.0
84,2017-08-28,7.29
85,2017-08-29,7.92
86,2017-08-30,8.5499
87,2017-08-31,8.73
88,2017-09-01,8.57
89,2017-09-05,8.19
90,2017-09-06,8.29
91,2017-09-07,8.06
92,2017-09-08,7.7
93,2017-09-11,8.4
94,2017-09-12,8.56
95,2017-09-13,8.29
96,2017-09-14,8.0501
97,2017-09-15,7.799
98,2017-09-18,7.79
99,2017-09-19,8.0104
100,2017-09-20,8.41
101,2017-09-21,8.21
102,2017-09-22,8.2353
103,2017-09-25,7.94
104,2017-09-26,8.1
105,2017-09-27,8.01
106,2017-09-28,8.15
107,2017-09-29,7.93
108,2017-10-02,8.09
109,2017-10-03,8.45
110,2017-10-04,8.66
111,2017-10-05,8.823
112,2017-10-06,9.25
113,2017-10-09,9.02
114,2017-10-10,8.8
115,2017-10-11,8.89
116,2017-10-12,8.7775
117,2017-10-13,8.75
118,2017-10-16,8.82
119,2017-10-17,8.78
120,2017-10-18,9.1
121,2017-10-19,9.0
122,2017-10-20,8.92
123,2017-10-23,9.05
124,2017-10-24,8.74
125,2017-10-25,8.4531
126,2017-10-26,8.4
127,2017-10-27,8.31
128,2017-10-30,8.32
129,2017-10-31,8.32
130,2017-11-01,8.39
131,2017-11-02,8.03
